"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00590","Vitvi01g00590","26 x 7","CabFra_warm_r2","Vitvi01g00590","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g02227","Vitvi01g02227","31 x 40","Riesl_acclim_r2","Vitvi01g02227","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00129","Vitvi02g00129","9 x 31","Sangio_accfreeze_r1","Vitvi02g00129","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00298","Vitvi03g00298","24 x 1","Sangio_freeze_r1","Vitvi03g00298","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01361","Vitvi07g01361","25 x 25","CabFra_warm_r3","Vitvi07g01361","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi05g00389","Vitvi05g00389","16 x 17","Tocai_acclim_r3","Vitvi05g00389",""
"Vitvi05g01904","Vitvi05g01904","13 x 11","CabFra_freeze_r3","Vitvi05g01904","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00442","Vitvi06g00442","7 x 29","CabFra_freeze_r2","Vitvi06g00442","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01376","Vitvi06g01376","10 x 15","Tocai_freeze_r2","Vitvi06g01376","The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."
"Vitvi07g00015","Vitvi07g00015","12 x 35","Riesl_accfreeze_r1","Vitvi07g00015","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00322","Vitvi07g00322","25 x 21","Riesl_acclim_r1","Vitvi07g00322","The aggregation, arrangement and bonding together of a set of components to form the cytochrome bc(1) complex (also known as ubiquinol-cytochrome c reductase), in the mitochondrial inner membrane."
"Vitvi08g00675","Vitvi08g00675","8 x 40","Riesl_acclim_r3","Vitvi08g00675","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi09g00047","Vitvi09g00047","15 x 24","Sangio_accfreeze_r1","Vitvi09g00047","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi09g01143","Vitvi09g01143","10 x 19","Sangio_freeze_r1","Vitvi09g01143",""
"Vitvi09g01398","Vitvi09g01398","1 x 8","Chard_accfreeze_r1","Vitvi09g01398","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g01399","Vitvi09g01399","1 x 8","Sangio_freeze_r1","Vitvi09g01399","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g01591","Vitvi09g01591","14 x 10","Sangio_freeze_r2","Vitvi09g01591","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g01852","Vitvi09g01852","12 x 13","Chard_freeze_r3","Vitvi09g01852","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi10g00528","Vitvi10g00528","31 x 20","CabFra_warm_r2","Vitvi10g00528","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi11g00679","Vitvi11g00679","29 x 16","Sangio_freeze_r1","Vitvi11g00679","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi12g00736","Vitvi12g00736","19 x 26","CabFra_warm_r2","Vitvi12g00736","Binding to a protein."
"Vitvi12g01979","Vitvi12g01979","7 x 16","CabFra_freeze_r3","Vitvi12g01979","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
