"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00319","Vitvi01g00319","33 x 1","Riesl_accfreeze_r1","Vitvi01g00319","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g01376","Vitvi01g01376","40 x 38","CabFra_warm_r2","Vitvi01g01376","Binding to the oxidized form, FAD, of flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes."
"Vitvi01g01782","Vitvi01g01782","37 x 37","CabFra_warm_r2","Vitvi01g01782","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00034","Vitvi03g00034","21 x 40","Chard_acclim_r2","Vitvi03g00034","Catalysis of the transfer of an alkyl or aryl (but not methyl) group from one compound (donor) to another (acceptor)."
"Vitvi03g00185","Vitvi03g00185","37 x 31","Tocai_freeze_r1","Vitvi03g00185","The process in which a methyl group is covalently attached to a molecule."
"Vitvi03g00570","Vitvi03g00570","20 x 38","Sangio_accfreeze_r2","Vitvi03g00570","Catalysis of the hydrolysis of any ester bond."
"Vitvi03g00780","Vitvi03g00780","36 x 37","Sangio_warm_r1","Vitvi03g00780","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g01543","Vitvi05g01543","11 x 3","Tocai_freeze_r2","Vitvi05g01543","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00213","Vitvi06g00213","35 x 26","Tocai_warm_r3","Vitvi06g00213","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00534","Vitvi06g00534","33 x 31","Chard_warm_r3","Vitvi06g00534","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01517","Vitvi08g01517","36 x 35","CabFra_warm_r2","Vitvi08g01517","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g01684","Vitvi08g01684","6 x 11","CabFra_freeze_r3","Vitvi08g01684","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"Vitvi08g01905","Vitvi08g01905","40 x 4","Chard_warm_r3","Vitvi08g01905","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi09g01401","Vitvi09g01401","21 x 19","Sangio_accfreeze_r1","Vitvi09g01401","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g01992","Vitvi09g01992","11 x 22","Chard_freeze_r2","Vitvi09g01992","An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins."
"Vitvi10g00764","Vitvi10g00764","37 x 30","CabFra_warm_r2","Vitvi10g00764","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00949","Vitvi11g00949","39 x 32","Tocai_warm_r3","Vitvi11g00949","Catalysis of the reaction: (S)-2,3-epoxysqualene = lanosterol. This is a cyclization reaction that forms the sterol nucleus."
"Vitvi12g02382","Vitvi12g02382","9 x 37","Sangio_freeze_r3","Vitvi12g02382","Catalysis of the hydrolysis of any ester bond."
"Vitvi13g00345","Vitvi13g00345","33 x 37","Tocai_acclim_r3","Vitvi13g00345","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g01233","Vitvi13g01233","34 x 30","CabFra_warm_r2","Vitvi13g01233","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi13g01684","Vitvi13g01684","37 x 40","Tocai_warm_r3","Vitvi13g01684","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi14g01152","Vitvi14g01152","40 x 6","Chard_warm_r1","Vitvi14g01152","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01569","Vitvi14g01569","25 x 4","Tocai_freeze_r3","Vitvi14g01569","Catalysis of the hydrolysis of any ester bond."
"Vitvi17g00135","Vitvi17g00135","36 x 14","CabFra_warm_r2","Vitvi17g00135","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00163","Vitvi18g00163","16 x 35","CabFra_accfreeze_r3","Vitvi18g00163","The process in which a methyl group is covalently attached to a molecule."
"Vitvi18g00612","Vitvi18g00612","40 x 40","Riesl_acclim_r2","Vitvi18g00612","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
