"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00081","Vitvi01g00081","33 x 32","CabFra_acclim_r2","Vitvi01g00081","Catalysis of the reaction: peptidyl-proline (omega=180) = peptidyl-proline (omega=0)."
"Vitvi01g01705","Vitvi01g01705","38 x 30","CabFra_warm_r1","Vitvi01g01705","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00457","Vitvi03g00457","33 x 21","CabFra_warm_r2","Vitvi03g00457","Catalysis of the reaction: peptidyl-proline (omega=180) = peptidyl-proline (omega=0)."
"Vitvi03g01151","Vitvi03g01151","32 x 17","Tocai_warm_r3","Vitvi03g01151","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00119","Vitvi04g00119","20 x 20","Tocai_freeze_r2","Vitvi04g00119","The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."
"Vitvi04g00450","Vitvi04g00450","16 x 21","Sangio_freeze_r2","Vitvi04g00450","Catalysis of the reaction: peptidyl-proline (omega=180) = peptidyl-proline (omega=0)."
"Vitvi07g00067","Vitvi07g00067","14 x 36","Sangio_acclim_r2","Vitvi07g00067","The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."
"Vitvi04g01437","Vitvi04g01437","28 x 15","Tocai_accfreeze_r1","Vitvi04g01437","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi05g01347","Vitvi05g01347","15 x 15","Chard_freeze_r2","Vitvi05g01347","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi05g01507","Vitvi05g01507","22 x 22","Riesl_accfreeze_r1","Vitvi05g01507","Binding to a nucleic acid."
"Vitvi05g01511","Vitvi05g01511","17 x 16","Tocai_accfreeze_r3","Vitvi05g01511","Binding to a nucleic acid."
"Vitvi05g01566","Vitvi05g01566","38 x 32","CabFra_warm_r1","Vitvi05g01566","Catalysis of the reaction: peptidyl-proline (omega=180) = peptidyl-proline (omega=0)."
