"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00049","Vitvi01g00049","19 x 22","Sangio_freeze_r3","Vitvi01g00049","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00499","Vitvi01g00499","1 x 40","Chard_acclim_r2","Vitvi01g00499","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00985","Vitvi01g00985","19 x 9","CabFra_freeze_r1","Vitvi01g00985","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."
"Vitvi01g01044","Vitvi01g01044","26 x 10","Sangio_accfreeze_r1","Vitvi01g01044","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."
"Vitvi01g01268","Vitvi01g01268","14 x 36","Sangio_accfreeze_r1","Vitvi01g01268","Binding to a protein."
"Vitvi01g01478","Vitvi01g01478","11 x 35","Riesl_accfreeze_r3","Vitvi01g01478","Binding to a protein."
"Vitvi02g00035","Vitvi02g00035","40 x 1","Sangio_freeze_r3","Vitvi02g00035","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00431","Vitvi02g00431","22 x 30","CabFra_warm_r3","Vitvi02g00431","Binding to an anaphase-promoting complex. A ubiquitin ligase complex that degrades mitotic cyclins and anaphase inhibitory protein, thereby triggering sister chromatid separation and exit from mitosis."
"Vitvi02g00768","Vitvi02g00768","25 x 19","CabFra_accfreeze_r3","Vitvi02g00768","A ubiquitin ligase complex that degrades mitotic cyclins and anaphase inhibitory protein, thereby triggering sister chromatid separation and exit from mitosis. Substrate recognition by APC occurs through degradation signals, the most common of which is termed the Dbox degradation motif, originally discovered in cyclin B."
"Vitvi03g00152","Vitvi03g00152","29 x 1","CabFra_freeze_r1","Vitvi03g00152","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
