"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi03g00325",1,"Vitvi03g00325","Vitvi03g00325",1.5315556477826,1.45533634474107,3.9000917535264,-1.504071079364,0.755699880040996,8.7116376118766,"2.29083418901155e-12      .","40 x 3","3 ","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi13g00369",2,"Vitvi13g00369","Vitvi13g00369",1.44055601414538,1.27101347519204,3.82390722258252,-1.44055601414538,0.674632757065333,6.9001438999453,"2.33315899933473e-09      .","40 x 3","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi13g02005",3,"Vitvi13g02005","Vitvi13g02005",3.97103586344991,1.5430189334251,3.5056388143769,-2.70819763037783,0.645819595549744,6.38624046038185,"1.66338023355195e-08      .","40 x 5","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi01g01981",4,"Vitvi01g01981","Vitvi01g01981",2.62200147325562,1.67617555568274,3.17632415448134,-2.6030212520733,0.683238796022958,7.06433177899873,"1.24297627746017e-09      .","37 x 3","1 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi10g00020",5,"Vitvi10g00020","Vitvi10g00020",2.80554341683914,1.06203331028346,3.01983812880119,-2.33731347377605,0.500973117823027,4.37022122913725,"2.65852366104768e-05      .","36 x 5","10 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi16g00731",6,"Vitvi16g00731","",0.805637376376534,1.0957865595212,3.01825020144708,-0.805637376376534,0.79779106800519,9.98980062287669,"1.95399252334028e-14      .","38 x 3"," ",""
"Vitvi12g02451",7,"Vitvi12g02451","Vitvi12g02451",0.760670987710674,0.854249164022992,2.83902757953778,-0.760670987710674,0.778151455628135,9.35381756933042,"2.05169214950729e-13      .","40 x 4","12 ","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi05g01116",8,"Vitvi05g01116","Vitvi05g01116",3.08574956475291,0.988660821701965,2.81937843771945,-2.48415556894294,0.449898326066605,3.80330844422037,"0.000175116520076291      .","40 x 7","5 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi14g01336",9,"Vitvi14g01336","Vitvi14g01336",1.74732820240109,0.967371311959733,2.72942077449332,-1.74508025459146,0.715873411391161,7.7406084447805,"9.27684595808387e-11      .","40 x 4","14 ",""
"Vitvi19g00302",10,"Vitvi19g00302","Vitvi19g00302",1.93700645456225,1.31142016828862,2.65983221640838,-1.93700645456225,0.79884878719198,10.0263613252904,"1.70974345792274e-14      .","40 x 5","19 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
