"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00413","Vitvi01g00413","30 x 12","Riesl_freeze_r3","Vitvi01g00413","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g01098","Vitvi02g01098","28 x 26","CabFra_warm_r3","Vitvi02g01098","The region of a mitochondrion to which the DNA is confined."
"Vitvi02g01153","Vitvi02g01153","24 x 16","CabFra_warm_r3","Vitvi02g01153","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00003","Vitvi03g00003","10 x 35","Tocai_acclim_r2","Vitvi03g00003","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00493","Vitvi03g00493","20 x 12","CabFra_freeze_r3","Vitvi03g00493","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g00223","Vitvi04g00223","40 x 26","Tocai_warm_r3","Vitvi04g00223","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01724","Vitvi04g01724","8 x 33","Chard_acclim_r2","Vitvi04g01724","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g01986","Vitvi04g01986","5 x 25","Riesl_freeze_r1","Vitvi04g01986","A mitotic cell cycle checkpoint that detects and negatively regulates progression through the G2/M transition of the cell cycle in response to DNA damage."
"Vitvi05g01320","Vitvi05g01320","7 x 30","Chard_acclim_r1","Vitvi05g01320","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi06g00362","Vitvi06g00362","40 x 15","Chard_warm_r2","Vitvi06g00362","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00848","Vitvi06g00848","26 x 37","CabFra_acclim_r2","Vitvi06g00848","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01867","Vitvi07g01867","26 x 15","CabFra_warm_r2","Vitvi07g01867","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
