"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi06g01714",1,"Vitvi06g01714","",2.64782868394341,0.935808592122432,3.76732631367802,-1.79507450756008,0.363036481062898,2.94155299569726,"0.00235679440688297      .","19 x 11"," ",""
"Vitvi01g02000",2,"Vitvi01g02000","",0.89861097791081,1.09155170453105,3.6323872343952,-0.896363030101178,0.812658824989857,10.5286097593411,"2.77555756156289e-15      .","20 x 13"," ",""
"Vitvi01g02070",3,"Vitvi01g02070","Vitvi01g02070",0.772623595912976,0.859168992038138,3.60250169102909,-0.772623595912976,0.584375988313275,5.43688753675035,"5.88958667391282e-07      .","20 x 13","1 ","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi04g00345",4,"Vitvi04g00345","Vitvi04g00345",1.53736060469385,1.30260006535294,3.58938712436785,-1.53736060469385,0.555344326315093,5.0416718297503,"2.49476025970807e-06      .","19 x 14","4 ",""
"Vitvi01g01998",5,"Vitvi01g01998","Vitvi01g01998",0.998407801888395,1.14660564302156,3.29927987636922,-0.998407801888395,0.826828356237308,11.0985317431549,"3.33066907387547e-16      .","20 x 13","1 ","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi18g01669",6,"Vitvi18g01669","Vitvi18g01669",1.30752943193968,1.41376321098253,3.10409443347182,-1.30752943193968,0.63323542584653,6.17709876105559,"3.68162134112282e-08      .","22 x 13","18 ","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi16g01259",7,"Vitvi16g01259","",1.52414342419173,1.17605883749747,3.00217424814462,-1.52414342419173,0.674042816145684,6.88908198144063,"2.43421593992821e-09      .","20 x 13"," ",""
"Vitvi07g02587",8,"Vitvi07g02587","",1.15466739352566,1.25744702600359,2.86922957716798,-1.15001026749674,0.552559383540591,5.00523616392295,"2.84514070281183e-06      .","19 x 15"," ",""
"Vitvi07g00329",9,"Vitvi07g00329","Vitvi07g00329",0.797434523099747,1.2842673259471,2.85128889518846,-0.797434523099747,0.765110183737535,8.97105265974598,"8.60866933294346e-13      .","20 x 13","7 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi14g00149",10,"Vitvi14g00149","Vitvi14g00149",0.740950511662022,0.810819796808863,2.7732087464098,-0.740950511662022,0.482862160546712,4.1630061383771,"5.36795125276601e-05      .","18 x 12","14 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g02578",11,"Vitvi07g02578","",0.814881453738683,0.848302158407687,2.58897277868457,-0.812633505929051,0.769284491388608,9.09048753005037,"5.49560397189452e-13      .","19 x 14"," ",""
"Vitvi18g00878",12,"Vitvi18g00878","Vitvi18g00878",1.01064037825017,0.96565664165004,2.55687649775862,-1.01064037825017,0.699935911042531,7.39898962179543,"3.44012374142721e-10      .","20 x 13","18 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi00g01805",13,"Vitvi00g01805","Vitvi00g01805",2.43019380311659,1.38909531249536,2.4817754659818,-2.41121358193427,0.570645312923764,5.24634101880518,"1.18593587861149e-06      .","22 x 12","Un ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02574",14,"Vitvi12g02574","",0.5541875603552,0.898902390899102,2.47436560167649,-0.5541875603552,0.758697451741238,8.79284731690065,"1.68531855138099e-12      .","20 x 13"," ",""
"Vitvi19g01935",15,"Vitvi19g01935","",0.68019525457209,0.844439959108408,2.39645300495073,-0.68019525457209,0.332288974778661,2.65986667917319,"0.00506639162237299      .","19 x 16"," ",""
