"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00260","Vitvi01g00260","38 x 20","Tocai_warm_r3","Vitvi01g00260","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi01g00446","Vitvi01g00446","36 x 13","Tocai_acclim_r3","Vitvi01g00446","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00473","Vitvi01g00473","20 x 36","Tocai_accfreeze_r2","Vitvi01g00473","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00528","Vitvi01g00528","39 x 38","Sangio_warm_r3","Vitvi01g00528","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00857","Vitvi01g00857","34 x 26","Riesl_warm_r2","Vitvi01g00857","A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins."
"Vitvi01g01506","Vitvi01g01506","12 x 4","Riesl_freeze_r3","Vitvi01g01506","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01666","Vitvi01g01666","12 x 25","Riesl_freeze_r3","Vitvi01g01666","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01711","Vitvi01g01711","10 x 1","CabFra_freeze_r2","Vitvi01g01711","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus."
"Vitvi01g01995","Vitvi01g01995","37 x 16","CabFra_warm_r3","Vitvi01g01995","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi01g02293","Vitvi01g02293","23 x 1","Tocai_warm_r1","Vitvi01g02293","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00119","Vitvi02g00119","19 x 39","Riesl_warm_r2","Vitvi02g00119","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi02g00163","Vitvi02g00163","31 x 40","Tocai_warm_r3","Vitvi02g00163","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00328","Vitvi02g00328","5 x 40","Tocai_accfreeze_r3","Vitvi02g00328","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00507","Vitvi02g00507","1 x 14","Sangio_freeze_r2","Vitvi02g00507","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus."
"Vitvi02g00682","Vitvi02g00682","36 x 40","Tocai_warm_r3","Vitvi02g00682","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00695","Vitvi02g00695","33 x 25","CabFra_warm_r2","Vitvi02g00695","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi02g00698","Vitvi02g00698","12 x 3","Riesl_warm_r1","Vitvi02g00698","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi03g00064","Vitvi03g00064","40 x 40","Riesl_acclim_r1","Vitvi03g00064","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus."
"Vitvi03g00122","Vitvi03g00122","40 x 27","Tocai_warm_r3","Vitvi03g00122","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00205","Vitvi03g00205","7 x 11","CabFra_freeze_r3","Vitvi03g00205","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00452","Vitvi03g00452","4 x 37","Tocai_accfreeze_r2","Vitvi03g00452","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00542","Vitvi03g00542","40 x 27","Tocai_warm_r3","Vitvi03g00542","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00586","Vitvi03g00586","6 x 5","Sangio_freeze_r1","Vitvi03g00586","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00743","Vitvi03g00743","21 x 1","Tocai_warm_r1","Vitvi03g00743","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00752","Vitvi03g00752","40 x 24","Tocai_warm_r1","Vitvi03g00752","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00757","Vitvi03g00757","21 x 1","Sangio_freeze_r3","Vitvi03g00757","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00860","Vitvi03g00860","35 x 40","Tocai_accfreeze_r2","Vitvi03g00860","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g01337","Vitvi03g01337","36 x 28","Riesl_acclim_r1","Vitvi03g01337","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus."
"Vitvi03g01348","Vitvi03g01348","38 x 33","Riesl_acclim_r3","Vitvi03g01348","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus."
