"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00214","Vitvi01g00214","12 x 1","Chard_freeze_r2","Vitvi01g00214","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00265","Vitvi01g00265","15 x 33","Sangio_accfreeze_r1","Vitvi01g00265","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00870","Vitvi01g00870","12 x 14","Sangio_freeze_r3","Vitvi01g00870","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi01g02228","Vitvi01g02228","1 x 1","Sangio_freeze_r2","Vitvi01g02228","Binding to a calcium ion (Ca2+)."
"Vitvi02g00424","Vitvi02g00424","21 x 13","CabFra_freeze_r3","Vitvi02g00424","Binding to a calcium ion (Ca2+)."
"Vitvi02g00485","Vitvi02g00485","38 x 20","Tocai_warm_r1","Vitvi02g00485","Binding to a calcium ion (Ca2+)."
"Vitvi03g00143","Vitvi03g00143","22 x 37","Sangio_accfreeze_r1","Vitvi03g00143","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi03g00343","Vitvi03g00343","6 x 36","CabFra_accfreeze_r3","Vitvi03g00343","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"Vitvi03g00452","Vitvi03g00452","4 x 37","Tocai_accfreeze_r2","Vitvi03g00452","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00457","Vitvi03g00457","33 x 21","CabFra_warm_r2","Vitvi03g00457","Catalysis of the reaction: peptidyl-proline (omega=180) = peptidyl-proline (omega=0)."
"Vitvi03g00496","Vitvi03g00496","5 x 1","Chard_freeze_r2","Vitvi03g00496","Binding to a calcium ion (Ca2+)."
"Vitvi03g01396","Vitvi03g01396","37 x 11","Tocai_freeze_r2","Vitvi03g01396","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"Vitvi04g00068","Vitvi04g00068","6 x 21","Tocai_accfreeze_r3","Vitvi04g00068","A protein complex that has protein serine/threonine phosphatase activity that is polycation-stimulated (PCS), being directly stimulated by protamine, polylysine, or histone H1; it constitutes a subclass of several enzymes activated by different histones and polylysine, and consists of catalytic, scaffolding, and regulatory subunits. The catalytic and scaffolding subunits form the core enzyme, and the holoenzyme also includes the regulatory subunit."
