"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00455","Vitvi01g00455","29 x 7","CabFra_freeze_r3","Vitvi01g00455","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g01331","Vitvi01g01331","37 x 2","Chard_freeze_r1","Vitvi01g01331","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi01g01838","Vitvi01g01838","27 x 27","CabFra_accfreeze_r2","Vitvi01g01838","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00642","Vitvi02g00642","7 x 37","Tocai_accfreeze_r3","Vitvi02g00642","Binding to a metal ion."
"Vitvi04g00594","Vitvi04g00594","7 x 1","Sangio_freeze_r2","Vitvi04g00594","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01124","Vitvi04g01124","19 x 6","Sangio_freeze_r1","Vitvi04g01124","A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellulose- and pectin-containing cell wall."
"Vitvi07g01337","Vitvi07g01337","12 x 9","Sangio_freeze_r3","Vitvi07g01337","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g00258","Vitvi05g00258","29 x 27","Sangio_acclim_r1","Vitvi05g00258","Binding to an RNA molecule or a portion thereof."
"Vitvi06g00764","Vitvi06g00764","28 x 28","Tocai_acclim_r2","Vitvi06g00764","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00018","Vitvi08g00018","15 x 30","Tocai_warm_r3","Vitvi08g00018","Binding to a metal ion."
"Vitvi08g02190","Vitvi08g02190","31 x 24","CabFra_warm_r3","Vitvi08g02190","Binding to an RNA molecule or a portion thereof."
"Vitvi09g01427","Vitvi09g01427","5 x 5","CabFra_freeze_r2","Vitvi09g01427","Catalysis of the reaction: (S)-2,3-epoxysqualene = lanosterol. This is a cyclization reaction that forms the sterol nucleus."
"Vitvi09g01992","Vitvi09g01992","11 x 22","Chard_freeze_r2","Vitvi09g01992","An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins."
"Vitvi09g02008","Vitvi09g02008","31 x 1","Chard_freeze_r2","Vitvi09g02008","An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins."
"Vitvi11g00949","Vitvi11g00949","39 x 32","Tocai_warm_r3","Vitvi11g00949","Catalysis of the reaction: (S)-2,3-epoxysqualene = lanosterol. This is a cyclization reaction that forms the sterol nucleus."
"Vitvi12g02033","Vitvi12g02033","8 x 31","Chard_acclim_r2","Vitvi12g02033","Binding to an RNA molecule or a portion thereof."
"Vitvi13g00843","Vitvi13g00843","19 x 34","Sangio_accfreeze_r1","Vitvi13g00843","Binding to a metal ion."
"Vitvi14g00432","Vitvi14g00432","24 x 39","Riesl_acclim_r1","Vitvi14g00432","Binding to an RNA molecule or a portion thereof."
"Vitvi14g01673","Vitvi14g01673","34 x 21","CabFra_warm_r2","Vitvi14g01673","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi14g01350","Vitvi14g01350","40 x 31","Riesl_warm_r2","Vitvi14g01350","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi14g02011","Vitvi14g02011","19 x 4","Sangio_freeze_r3","Vitvi14g02011","The chemical reactions and pathways resulting in the formation of aromatic amino acid family, amino acids with aromatic ring (phenylalanine, tyrosine, tryptophan)."
"Vitvi15g01178","Vitvi15g01178","40 x 34","CabFra_warm_r2","Vitvi15g01178","The chemical reactions and pathways resulting in the formation of GDP-mannose, a substance composed of mannose in glycosidic linkage with guanosine diphosphate."
"Vitvi16g00891","Vitvi16g00891","30 x 38","Sangio_acclim_r1","Vitvi16g00891","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi17g00073","Vitvi17g00073","13 x 21","Sangio_accfreeze_r1","Vitvi17g00073","Binding to an RNA molecule or a portion thereof."
"Vitvi17g00074","Vitvi17g00074","37 x 32","CabFra_warm_r3","Vitvi17g00074","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi17g00103","Vitvi17g00103","34 x 7","Riesl_accfreeze_r1","Vitvi17g00103","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi17g00551","Vitvi17g00551","22 x 32","Chard_warm_r1","Vitvi17g00551","The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
"Vitvi17g01440","Vitvi17g01440","21 x 5","Sangio_freeze_r1","Vitvi17g01440","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi18g00140","Vitvi18g00140","23 x 36","Chard_acclim_r2","Vitvi18g00140","Binding to an RNA molecule or a portion thereof."
"Vitvi18g00146","Vitvi18g00146","7 x 36","Chard_acclim_r1","Vitvi18g00146","Binding to an RNA molecule or a portion thereof."
"Vitvi18g00173","Vitvi18g00173","20 x 27","CabFra_warm_r1","Vitvi18g00173","Binding to an RNA molecule or a portion thereof."
"Vitvi18g02571","Vitvi18g02571","22 x 1","Sangio_freeze_r3","Vitvi18g02571","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi18g02917","Vitvi18g02917","9 x 27","Riesl_freeze_r3","Vitvi18g02917","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
