"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00225","Vitvi02g00225","23 x 1","Tocai_freeze_r2","Vitvi02g00225","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00549","Vitvi02g00549","12 x 39","CabFra_accfreeze_r1","Vitvi02g00549","Catalysis of the reaction: S-adenosyl-L-methionine + (protein)-arginine = S-adenosyl-L-homocysteine + (protein)-N-methyl-arginine."
"Vitvi03g00651","Vitvi03g00651","1 x 33","Tocai_accfreeze_r2","Vitvi03g00651","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g01589","Vitvi04g01589","6 x 9","Sangio_freeze_r3","Vitvi04g01589","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00242","Vitvi05g00242","32 x 29","Tocai_freeze_r1","Vitvi05g00242","Binding to a metal ion."
"Vitvi05g00322","Vitvi05g00322","11 x 21","Tocai_acclim_r1","Vitvi05g00322","Catalysis of the reaction: S-adenosyl-L-methionine + (protein)-arginine = S-adenosyl-L-homocysteine + (protein)-N-methyl-arginine."
"Vitvi05g00576","Vitvi05g00576","24 x 5","CabFra_freeze_r3","Vitvi05g00576","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g01094","Vitvi05g01094","40 x 17","Sangio_warm_r1","Vitvi05g01094","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g01200","Vitvi05g01200","7 x 38","Riesl_acclim_r1","Vitvi05g01200","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g01624","Vitvi05g01624","29 x 23","Riesl_acclim_r3","Vitvi05g01624","The chemical reactions and pathways resulting in the formation of cysteine from other compounds, including serine."
"Vitvi05g02273","Vitvi05g02273","29 x 37","CabFra_acclim_r2","Vitvi05g02273","Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a substrate."
"Vitvi06g00230","Vitvi06g00230","34 x 27","CabFra_warm_r1","Vitvi06g00230","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi07g01039","Vitvi07g01039","14 x 1","Tocai_warm_r3","Vitvi07g01039","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g02247","Vitvi07g02247","40 x 20","Tocai_warm_r3","Vitvi07g02247","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g00071","Vitvi08g00071","30 x 40","Tocai_acclim_r3","Vitvi08g00071","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi08g01660","Vitvi08g01660","31 x 22","CabFra_warm_r1","Vitvi08g01660","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi08g01809","Vitvi08g01809","23 x 5","CabFra_freeze_r3","Vitvi08g01809","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g01540","Vitvi10g01540","12 x 29","Sangio_freeze_r3","Vitvi10g01540","Catalysis of the reaction: S-adenosyl-L-methionine + (protein)-arginine = S-adenosyl-L-homocysteine + (protein)-N-methyl-arginine."
"Vitvi11g00208","Vitvi11g00208","25 x 40","Sangio_accfreeze_r1","Vitvi11g00208","Catalysis of the reaction: S-adenosyl-L-methionine + (protein)-arginine = S-adenosyl-L-homocysteine + (protein)-N-methyl-arginine."
"Vitvi11g00234","Vitvi11g00234","19 x 6","Riesl_freeze_r3","Vitvi11g00234","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi11g00426","Vitvi11g00426","4 x 40","Sangio_accfreeze_r1","Vitvi11g00426","Catalysis of the reaction: S-adenosyl-L-methionine + (protein)-arginine = S-adenosyl-L-homocysteine + (protein)-N-methyl-arginine."
"Vitvi12g02139","Vitvi12g02139","31 x 40","Riesl_acclim_r3","Vitvi12g02139","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi12g02157","Vitvi12g02157","32 x 4","Riesl_warm_r1","Vitvi12g02157","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi13g00277","Vitvi13g00277","9 x 39","Riesl_acclim_r3","Vitvi13g00277","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi13g01351","Vitvi13g01351","28 x 26","Sangio_accfreeze_r1","Vitvi13g01351","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi13g01915","Vitvi13g01915","31 x 24","Riesl_acclim_r3","Vitvi13g01915","Binding to a transfer RNA."
"Vitvi14g00404","Vitvi14g00404","5 x 32","CabFra_accfreeze_r3","Vitvi14g00404","The chemical reactions and pathways resulting in the formation of cysteine from other compounds, including serine."
"Vitvi14g00405","Vitvi14g00405","36 x 40","Chard_warm_r3","Vitvi14g00405","The chemical reactions and pathways resulting in the formation of cysteine from other compounds, including serine."
