"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00478","Vitvi01g00478","4 x 29","Tocai_accfreeze_r1","Vitvi01g00478","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01359","Vitvi01g01359","15 x 2","Sangio_freeze_r2","Vitvi01g01359","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi01g01803","Vitvi01g01803","40 x 19","Riesl_warm_r2","Vitvi01g01803","Binding to a calcium ion (Ca2+)."
"Vitvi02g00048","Vitvi02g00048","17 x 3","CabFra_freeze_r2","Vitvi02g00048","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00332","Vitvi02g00332","26 x 21","CabFra_acclim_r2","Vitvi02g00332","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00333","Vitvi02g00333","11 x 7","Sangio_freeze_r2","Vitvi02g00333","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."
"Vitvi02g00634","Vitvi02g00634","12 x 6","CabFra_freeze_r2","Vitvi02g00634","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00137","Vitvi03g00137","31 x 8","Chard_freeze_r2","Vitvi03g00137","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi04g00484","Vitvi04g00484","28 x 34","CabFra_acclim_r2","Vitvi04g00484","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi04g00610","Vitvi04g00610","34 x 9","Chard_freeze_r2","Vitvi04g00610","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."
"Vitvi04g00635","Vitvi04g00635","38 x 27","CabFra_warm_r1","Vitvi04g00635","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g01378","Vitvi04g01378","33 x 25","Riesl_accfreeze_r3","Vitvi04g01378","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi05g00135","Vitvi05g00135","12 x 36","Chard_acclim_r2","Vitvi05g00135","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi05g01469","Vitvi05g01469","12 x 40","CabFra_accfreeze_r2","Vitvi05g01469","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi06g00111","Vitvi06g00111","40 x 1","Tocai_warm_r1","Vitvi06g00111","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi06g00358","Vitvi06g00358","17 x 2","Riesl_freeze_r1","Vitvi06g00358","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi06g00769","Vitvi06g00769","4 x 34","CabFra_accfreeze_r3","Vitvi06g00769","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi06g00771","Vitvi06g00771","40 x 18","Sangio_warm_r2","Vitvi06g00771","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi07g00160","Vitvi07g00160","6 x 28","Tocai_freeze_r2","Vitvi07g00160","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi07g01502","Vitvi07g01502","4 x 34","CabFra_accfreeze_r3","Vitvi07g01502","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi07g01614","Vitvi07g01614","22 x 1","Tocai_warm_r1","Vitvi07g01614","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
