"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00128","Vitvi02g00128","9 x 8","Sangio_freeze_r3","Vitvi02g00128","The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."
"Vitvi02g00338","Vitvi02g00338","1 x 13","Sangio_freeze_r3","Vitvi02g00338","The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."
"Vitvi03g00283","Vitvi03g00283","17 x 24","Sangio_accfreeze_r1","Vitvi03g00283","The process in which a SUMO protein (small ubiquitin-related modifier) is conjugated to a target protein via an isopeptide bond between the carboxy-terminus of SUMO with an epsilon-amino group of a lysine residue of the target protein."
"Vitvi03g00388","Vitvi03g00388","40 x 40","CabFra_warm_r1","Vitvi03g00388","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi04g00890","Vitvi04g00890","40 x 1","Sangio_freeze_r1","Vitvi04g00890","Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
"Vitvi05g00092","Vitvi05g00092","13 x 7","CabFra_freeze_r3","Vitvi05g00092","Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
"Vitvi05g00438","Vitvi05g00438","26 x 13","Riesl_freeze_r1","Vitvi05g00438","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00463","Vitvi05g00463","1 x 33","Tocai_accfreeze_r2","Vitvi05g00463","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi06g00692","Vitvi06g00692","8 x 28","CabFra_accfreeze_r2","Vitvi06g00692","Catalysis of the activation of small proteins, such as ubiquitin or ubiquitin-like proteins, through the formation of an ATP-dependent high-energy thiolester bond."
"Vitvi06g01318","Vitvi06g01318","7 x 11","CabFra_freeze_r3","Vitvi06g01318","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00445","Vitvi07g00445","40 x 17","CabFra_freeze_r1","Vitvi07g00445","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi07g00637","Vitvi07g00637","27 x 15","CabFra_warm_r1","Vitvi07g00637","Binding to a metal ion."
"Vitvi08g00159","Vitvi08g00159","16 x 1","CabFra_freeze_r2","Vitvi08g00159","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g00752","Vitvi08g00752","25 x 7","Sangio_freeze_r3","Vitvi08g00752","Catalysis of the activation of small proteins, such as ubiquitin or ubiquitin-like proteins, through the formation of an ATP-dependent high-energy thiolester bond."
"Vitvi09g00342","Vitvi09g00342","28 x 38","Tocai_acclim_r2","Vitvi09g00342","Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
"Vitvi10g00940","Vitvi10g00940","35 x 38","Riesl_acclim_r1","Vitvi10g00940","Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
"Vitvi10g01386","Vitvi10g01386","33 x 26","CabFra_warm_r2","Vitvi10g01386","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi11g01257","Vitvi11g01257","39 x 1","Sangio_freeze_r1","Vitvi11g01257","Catalysis of the reaction: substrate + ATP + CoASH = AMP + diphosphate + substrate-CoA."
"Vitvi12g02505","Vitvi12g02505","16 x 39","Chard_acclim_r1","Vitvi12g02505","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01419","Vitvi14g01419","9 x 23","Sangio_freeze_r3","Vitvi14g01419","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi15g00260","Vitvi15g00260","16 x 24","Riesl_freeze_r2","Vitvi15g00260","Binding to a protein."
"Vitvi16g00139","Vitvi16g00139","40 x 4","Tocai_freeze_r1","Vitvi16g00139","Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
"Vitvi16g01036","Vitvi16g01036","1 x 3","CabFra_freeze_r1","Vitvi16g01036","Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
"Vitvi17g00101","Vitvi17g00101","21 x 21","CabFra_freeze_r1","Vitvi17g00101","Catalysis of the activation of small proteins, such as ubiquitin or ubiquitin-like proteins, through the formation of an ATP-dependent high-energy thiolester bond."
"Vitvi17g00148","Vitvi17g00148","1 x 38","Chard_accfreeze_r3","Vitvi17g00148","A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism."
"Vitvi17g01162","Vitvi17g01162","22 x 5","Sangio_freeze_r3","Vitvi17g01162","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi18g00124","Vitvi18g00124","32 x 33","Chard_warm_r2","Vitvi18g00124","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00275","Vitvi18g00275","39 x 16","Sangio_warm_r1","Vitvi18g00275","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
