"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00099","Vitvi01g00099","13 x 12","Tocai_freeze_r2","Vitvi01g00099","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00375","Vitvi02g00375","12 x 31","Sangio_accfreeze_r1","Vitvi02g00375","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00746","Vitvi02g00746","18 x 20","Sangio_freeze_r2","Vitvi02g00746","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00775","Vitvi02g00775","17 x 6","CabFra_freeze_r3","Vitvi02g00775","The component of the endoplasmic reticulum membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g02261","Vitvi04g02261","14 x 26","Sangio_accfreeze_r1","Vitvi04g02261","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi06g00094","Vitvi06g00094","23 x 29","Chard_warm_r2","Vitvi06g00094","The chemical reactions and pathways resulting in the formation of a glycosylphosphatidylinositol (GPI) anchor that attaches some membrane proteins to the lipid bilayer of the cell membrane. The phosphatidylinositol group is linked via the C-6 hydroxyl residue of inositol to a carbohydrate chain which is itself linked to the protein via an ethanolamine phosphate group, its amino group forming an amide linkage with the C-terminal carboxyl of the protein. Some GPI anchors have variants on this canonical linkage."
"Vitvi06g00608","Vitvi06g00608","8 x 38","Tocai_acclim_r3","Vitvi06g00608","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi07g00194","Vitvi07g00194","5 x 38","Sangio_acclim_r2","Vitvi07g00194","A transamidation reaction that results in the cleavage of the polypeptide chain and the concomitant transfer of the GPI anchor to the newly formed carboxy-terminal amino acid of the anchored protein. The cleaved C-terminal contains the C-terminal GPI signal sequence of the newly synthesized polypeptide chain."
"Vitvi07g00857","Vitvi07g00857","6 x 28","Tocai_accfreeze_r1","Vitvi07g00857","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi07g01033","Vitvi07g01033","16 x 34","Sangio_accfreeze_r1","Vitvi07g01033","A transamidation reaction that results in the cleavage of the polypeptide chain and the concomitant transfer of the GPI anchor to the newly formed carboxy-terminal amino acid of the anchored protein. The cleaved C-terminal contains the C-terminal GPI signal sequence of the newly synthesized polypeptide chain."
"Vitvi08g01687","Vitvi08g01687","23 x 32","Sangio_warm_r3","Vitvi08g01687","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00442","Vitvi09g00442","11 x 39","Tocai_accfreeze_r2","Vitvi09g00442","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00976","Vitvi09g00976","17 x 24","Riesl_freeze_r3","Vitvi09g00976","The chemical reactions and pathways resulting in the formation of a glycosylphosphatidylinositol (GPI) anchor that attaches some membrane proteins to the lipid bilayer of the cell membrane. The phosphatidylinositol group is linked via the C-6 hydroxyl residue of inositol to a carbohydrate chain which is itself linked to the protein via an ethanolamine phosphate group, its amino group forming an amide linkage with the C-terminal carboxyl of the protein. Some GPI anchors have variants on this canonical linkage."
"Vitvi09g01278","Vitvi09g01278","17 x 23","Tocai_accfreeze_r2","Vitvi09g01278","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00824","Vitvi11g00824","11 x 38","CabFra_acclim_r2","Vitvi11g00824","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi13g01227","Vitvi13g01227","13 x 34","Sangio_acclim_r2","Vitvi13g01227","Catalysis of the hydrolysis of any ester bond."
"Vitvi14g01699","Vitvi14g01699","28 x 4","Chard_warm_r3","Vitvi14g01699","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01820","Vitvi14g01820","18 x 32","Tocai_acclim_r1","Vitvi14g01820","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g02696","Vitvi14g02696","12 x 33","Sangio_accfreeze_r1","Vitvi14g02696","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."
"Vitvi15g00364","Vitvi15g00364","5 x 30","Sangio_acclim_r2","Vitvi15g00364","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00080","Vitvi18g00080","18 x 23","Sangio_freeze_r3","Vitvi18g00080","The chemical reactions and pathways resulting in the formation of a glycosylphosphatidylinositol (GPI) anchor that attaches some membrane proteins to the lipid bilayer of the cell membrane. The phosphatidylinositol group is linked via the C-6 hydroxyl residue of inositol to a carbohydrate chain which is itself linked to the protein via an ethanolamine phosphate group, its amino group forming an amide linkage with the C-terminal carboxyl of the protein. Some GPI anchors have variants on this canonical linkage."
"Vitvi18g00374","Vitvi18g00374","11 x 26","Sangio_freeze_r2","Vitvi18g00374","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi18g02328","Vitvi18g02328","22 x 31","Chard_acclim_r1","Vitvi18g02328","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
