"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00265","Vitvi01g00265","15 x 33","Sangio_accfreeze_r1","Vitvi01g00265","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00355","Vitvi01g00355","4 x 14","Tocai_accfreeze_r3","Vitvi01g00355","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00870","Vitvi01g00870","12 x 14","Sangio_freeze_r3","Vitvi01g00870","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi01g01521","Vitvi01g01521","10 x 9","Sangio_freeze_r3","Vitvi01g01521","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"Vitvi01g02201","Vitvi01g02201","38 x 1","Sangio_warm_r2","Vitvi01g02201","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00627","Vitvi02g00627","16 x 6","Riesl_freeze_r3","Vitvi02g00627","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00531","Vitvi03g00531","10 x 31","Sangio_accfreeze_r1","Vitvi03g00531","Binding to a nucleic acid."
"Vitvi03g01078","Vitvi03g01078","27 x 6","Tocai_warm_r3","Vitvi03g01078","Binding to GTP, guanosine triphosphate."
"Vitvi03g01411","Vitvi03g01411","16 x 1","Sangio_warm_r3","Vitvi03g01411","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"Vitvi03g01830","Vitvi03g01830","38 x 17","Chard_warm_r3","Vitvi03g01830","Binding to a nucleic acid."
