"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi03g00752",1,"Vitvi03g00752","Vitvi03g00752",3.94647238754604,1.89962618905421,5.2354041953573,-3.90116596020501,0.494875382858407,4.29963427631769,"3.38303726588052e-05      .","40 x 24","3 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi18g02927",2,"Vitvi18g02927","Vitvi18g02927",0.968688799094677,1.76947280571617,5.1744090852708,-0.968688799094677,0.917478178035614,17.413399037759,"0      .","40 x 26","18 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi11g01227",3,"Vitvi11g01227","Vitvi11g01227",0.887189706209963,1.61416930774824,5.01030688379987,-0.887189706209963,0.907904161969716,16.352311632363,"0      .","40 x 26","11 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g01222",4,"Vitvi11g01222","Vitvi11g01222",1.28921068609896,1.64409456233803,4.8192109579592,-1.27655637308395,0.883240234703231,14.2205634221305,"0      .","40 x 26","11 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi07g02007",5,"Vitvi07g02007","Vitvi07g02007",0.907096105538464,1.53908276650675,4.76036991989438,-0.907096105538464,0.904193818811631,15.9825702237525,"0      .","40 x 26","7 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi01g00742",6,"Vitvi01g00742","Vitvi01g00742",1.35353137461728,1.71717088639445,4.57904901985127,-1.35353137461728,0.884797859705689,14.3356974709333,"0      .","40 x 26","1 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi07g02362",7,"Vitvi07g02362","Vitvi07g02362",2.12848296233968,1.73771653819695,4.3062608606821,-2.04202759914198,0.582744340751282,5.4138845453264,"6.41115719512975e-07      .","40 x 25","7 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi18g01488",8,"Vitvi18g01488","Vitvi18g01488",0.840093654446427,1.41093424275385,4.25028390364979,-0.840093654446427,0.893360493969578,15.0102682356001,"0      .","40 x 26","18 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi11g01224",9,"Vitvi11g01224","Vitvi11g01224",0.84498085717953,1.34820876225817,4.19757403012221,-0.84498085717953,0.883998633722867,14.2763497056306,"0      .","40 x 26","11 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi04g00312",10,"Vitvi04g00312","Vitvi04g00312",1.09770364569907,1.54061668197544,4.15383964114745,-1.09770364569907,0.621834354122196,5.99470553517439,"7.33696104981973e-08      .","40 x 29","4 ","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi13g01768",11,"Vitvi13g01768","",2.45804042364742,1.49806103872612,4.01464598654813,-1.93237250465051,0.954245162661371,24.0929158755927,"0      .","40 x 26"," ",""
"Vitvi18g02991",12,"Vitvi18g02991","",2.60486374791171,1.4886466211294,3.97995049526237,-2.60486374791171,0.956799618299418,24.8451401946134,"0      .","40 x 26"," ",""
"Vitvi04g02223",13,"Vitvi04g02223","",1.80999977152789,1.58766016704537,3.96274570565391,-1.6639609065758,0.960382345589097,26.0175755754409,"0      .","40 x 26"," ",""
"Vitvi12g00025",14,"Vitvi12g00025","Vitvi12g00025",3.17708438064487,1.8034950531274,3.93340997515939,-3.08674864058756,0.816751748897503,10.6870979104351,"1.55431223447522e-15      .","40 x 26","12 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g02097",15,"Vitvi07g02097","Vitvi07g02097",2.20861111575056,1.55601226462048,3.84517684772944,-1.97225953151285,0.978291105413901,35.6403186843234,"0      .","40 x 27","7 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g02928",16,"Vitvi18g02928","Vitvi18g02928",0.662269016067318,1.27036068235757,3.81695262365836,-0.662269016067318,0.893199774468931,14.9969079444116,"0      .","40 x 26","18 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi12g00722",17,"Vitvi12g00722","Vitvi12g00722",1.09321642475394,1.18643269608536,3.76903691602087,-1.09321642475394,0.797298923944831,9.97287605461823,"2.07611705604904e-14      .","40 x 25","12 ","Binding to nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NADP+, or the reduced form, NADPH."
"Vitvi06g00433",18,"Vitvi06g00433","",3.22400211518389,1.50582217534623,3.76447619025702,-2.15602676665221,0.945417819827177,21.9042974109688,"0      .","40 x 27"," ",""
"Vitvi03g00593",19,"Vitvi03g00593","Vitvi03g00593",0.933079629335595,1.1556732752182,3.75882410826551,-0.933079629335595,0.881097240327316,14.0656458517064,"0      .","40 x 25","3 ",""
"Vitvi01g02265",20,"Vitvi01g02265","",1.46839617302632,1.38827502648859,3.74153324495363,-1.39655766668307,0.710093964412636,7.61403087392395,"1.50724988046136e-10      .","40 x 24"," ",""
"Vitvi13g01965",21,"Vitvi13g01965","",1.66345881053957,1.41554128130051,3.73705174680459,-1.61815238319855,0.950905646332391,23.197487413095,"0      .","40 x 26"," ",""
"Vitvi04g00602",22,"Vitvi04g00602","Vitvi04g00602",2.3125466852226,1.61837567449193,3.71427301131291,-2.24070817887935,0.957030988321658,24.916491811367,"0      .","40 x 27","4 ","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi07g00219",23,"Vitvi07g00219","Vitvi07g00219",2.12821731178319,1.46974895063489,3.69162216297256,-1.90355472430461,0.969086904065208,29.6548997212068,"0      .","40 x 26","7 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g01388",24,"Vitvi10g01388","Vitvi10g01388",0.696885180410622,1.00752826459647,3.68461580415258,-0.696885180410622,0.862313455767859,12.8567278336581,"0      .","40 x 26","10 ",""
"Vitvi06g00175",25,"Vitvi06g00175","",1.92826424818774,1.40992401490771,3.6662521531425,-1.78410073242454,0.964852059070007,27.7193654209143,"0      .","40 x 26"," ",""
"Vitvi06g00569",26,"Vitvi06g00569","Vitvi06g00569",3.0080922461329,1.59616236569761,3.65566430253933,-2.46874122722965,0.955257555660693,24.3835014253954,"0      .","40 x 27","6 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g00338",27,"Vitvi14g00338","Vitvi14g00338",1.92558711275507,1.22104370878259,3.63984496681683,-1.74312243092819,0.880180807365932,14.0005894359573,"0      .","40 x 26","14 ","Catalysis of the reaction: 3-dehydroquinate = 3-dehydroshikimate + H(2)O."
"Vitvi06g00178",28,"Vitvi06g00178","",2.35201647985236,1.51332043001247,3.63518505297418,-1.90884740178127,0.966362418118155,28.3682988307535,"0      .","40 x 26"," ",""
"Vitvi04g01453",29,"Vitvi04g01453","Vitvi04g01453",1.82544625431497,1.41326984814624,3.58598820860426,-1.69474636285499,0.969996624219541,30.1224192617373,"0      .","40 x 26","4 ",""
"Vitvi08g00958",30,"Vitvi08g00958","Vitvi08g00958",1.66498931940528,1.3453352166554,3.5694968385652,-1.5830037760236,0.963292908738505,27.0912008652742,"0      .","40 x 26","8 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
