"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi03g00752",1,"Vitvi03g00752","Vitvi03g00752",3.94647238754604,1.89962618905421,5.2354041953573,-3.90116596020501,0.50291777236154,4.39291381641067,"2.45946798012042e-05      .","40 x 24","3 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi18g02927",2,"Vitvi18g02927","Vitvi18g02927",0.968688799094677,1.76947280571617,5.1744090852708,-0.968688799094677,0.919361519640714,17.6430713636976,"0      .","40 x 26","18 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi11g01227",3,"Vitvi11g01227","Vitvi11g01227",0.887189706209963,1.61416930774824,5.01030688379987,-0.887189706209963,0.913294224781882,16.9290756681225,"0      .","40 x 26","11 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g01222",4,"Vitvi11g01222","Vitvi11g01222",1.28921068609896,1.64409456233803,4.8192109579592,-1.27655637308395,0.887688171953355,14.5552606032244,"0      .","40 x 26","11 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi07g02007",5,"Vitvi07g02007","Vitvi07g02007",0.907096105538464,1.53908276650675,4.76036991989438,-0.907096105538464,0.906018602007126,16.1618110272409,"0      .","40 x 26","7 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi01g00742",6,"Vitvi01g00742","Vitvi01g00742",1.35353137461728,1.71717088639445,4.57904901985127,-1.35353137461728,0.882902524392671,14.1958859391327,"0      .","40 x 26","1 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi07g02362",7,"Vitvi07g02362","Vitvi07g02362",2.12848296233968,1.73771653819695,4.3062608606821,-2.04202759914198,0.605086769180701,5.7379265558521,"1.92445613000913e-07      .","40 x 25","7 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi18g01488",8,"Vitvi18g01488","Vitvi18g01488",0.840093654446427,1.41093424275385,4.25028390364979,-0.840093654446427,0.89196989657651,14.8956040103619,"0      .","40 x 26","18 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi11g01224",9,"Vitvi11g01224","Vitvi11g01224",0.84498085717953,1.34820876225817,4.19757403012221,-0.84498085717953,0.890797701818057,14.8005581559934,"0      .","40 x 26","11 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi04g00312",10,"Vitvi04g00312","Vitvi04g00312",1.09770364569907,1.54061668197544,4.15383964114745,-1.09770364569907,0.635712932197161,6.21760393047387,"3.15747101797825e-08      .","40 x 29","4 ","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
