"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00329","Vitvi02g00329","12 x 26","Tocai_accfreeze_r2","Vitvi02g00329","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g00759","Vitvi02g00759","24 x 5","CabFra_freeze_r3","Vitvi02g00759","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi07g00075","Vitvi07g00075","4 x 31","Sangio_accfreeze_r1","Vitvi07g00075","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi10g00339","Vitvi10g00339","32 x 30","CabFra_warm_r2","Vitvi10g00339","Catalysis of the removal of a methyl group from a modified lysine residue at position 9 of the histone H3 protein."
"Vitvi04g00769","Vitvi04g00769","17 x 29","Chard_warm_r2","Vitvi04g00769","Catalysis of the removal of a methyl group from a modified lysine residue at position 9 of the histone H3 protein."
"Vitvi04g01989","Vitvi04g01989","17 x 19","Tocai_freeze_r2","Vitvi04g01989","Catalysis of the removal of a methyl group from a modified lysine residue at position 9 of the histone H3 protein."
"Vitvi06g00167","Vitvi06g00167","20 x 24","Sangio_accfreeze_r1","Vitvi06g00167","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi07g00618","Vitvi07g00618","19 x 27","Riesl_warm_r1","Vitvi07g00618","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi08g00216","Vitvi08g00216","30 x 23","CabFra_warm_r3","Vitvi08g00216","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g00053","Vitvi10g00053","20 x 1","Sangio_freeze_r1","Vitvi10g00053","Catalysis of the removal of a methyl group from a modified lysine residue at position 9 of the histone H3 protein."
"Vitvi10g01120","Vitvi10g01120","4 x 15","Sangio_freeze_r3","Vitvi10g01120","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g01394","Vitvi10g01394","28 x 21","CabFra_acclim_r2","Vitvi10g01394","Catalysis of the removal of a methyl group from a modified lysine residue at position 9 of the histone H3 protein."
"Vitvi14g00196","Vitvi14g00196","31 x 11","Sangio_freeze_r2","Vitvi14g00196","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"Vitvi14g00627","Vitvi14g00627","5 x 28","Tocai_accfreeze_r2","Vitvi14g00627","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi15g00950","Vitvi15g00950","15 x 2","CabFra_freeze_r1","Vitvi15g00950","Catalysis of the removal of a methyl group from a modified lysine residue at position 9 of the histone H3 protein."
"Vitvi16g01410","Vitvi16g01410","24 x 32","CabFra_freeze_r1","Vitvi16g01410","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi17g00875","Vitvi17g00875","6 x 27","Tocai_acclim_r1","Vitvi17g00875","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi17g01001","Vitvi17g01001","29 x 32","Tocai_freeze_r1","Vitvi17g01001","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi18g00437","Vitvi18g00437","1 x 33","Chard_accfreeze_r1","Vitvi18g00437","Binding to a protein."
