"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00061","Vitvi01g00061","16 x 1","Riesl_freeze_r1","Vitvi01g00061","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00067","Vitvi01g00067","7 x 1","CabFra_freeze_r3","Vitvi01g00067","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00104","Vitvi01g00104","17 x 18","CabFra_accfreeze_r1","Vitvi01g00104","Catalysis of the random hydrolysis of (1->4)-alpha-D-galactosiduronic linkages in pectate and other galacturonans."
"Vitvi01g00456","Vitvi01g00456","11 x 1","CabFra_freeze_r3","Vitvi01g00456","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi01g00457","Vitvi01g00457","37 x 8","Riesl_freeze_r1","Vitvi01g00457","Binds to and stops, prevents or reduces the activity of an enzyme."
"Vitvi01g00533","Vitvi01g00533","1 x 15","CabFra_accfreeze_r3","Vitvi01g00533","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00537","Vitvi01g00537","25 x 30","Chard_acclim_r1","Vitvi01g00537","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00557","Vitvi01g00557","11 x 1","CabFra_freeze_r2","Vitvi01g00557","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00593","Vitvi01g00593","40 x 38","Riesl_warm_r2","Vitvi01g00593","Binding to a metal ion."
"Vitvi01g00613","Vitvi01g00613","16 x 28","Riesl_freeze_r3","Vitvi01g00613","A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined."
"Vitvi01g00710","Vitvi01g00710","40 x 40","Riesl_warm_r1","Vitvi01g00710","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00745","Vitvi01g00745","38 x 35","Tocai_warm_r3","Vitvi01g00745",""
"Vitvi01g00747","Vitvi01g00747","40 x 37","Tocai_freeze_r1","Vitvi01g00747",""
"Vitvi01g00784","Vitvi01g00784","22 x 4","Chard_accfreeze_r1","Vitvi01g00784","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g01726","Vitvi01g01726","5 x 12","CabFra_freeze_r3","Vitvi01g01726","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g01805","Vitvi01g01805","40 x 23","Tocai_warm_r3","Vitvi01g01805","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g01888","Vitvi01g01888","1 x 40","Chard_accfreeze_r3","Vitvi01g01888",""
"Vitvi01g01971","Vitvi01g01971","14 x 5","Riesl_freeze_r1","Vitvi01g01971",""
