"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00133","Vitvi01g00133","15 x 1","Chard_freeze_r2","Vitvi01g00133","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00148","Vitvi01g00148","28 x 40","CabFra_acclim_r1","Vitvi01g00148","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00149","Vitvi01g00149","3 x 10","Sangio_freeze_r3","Vitvi01g00149","Catalysis of the reaction: R-X + glutathione = H-X + R-S-glutathione. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group."
"Vitvi01g00382","Vitvi01g00382","12 x 35","Sangio_accfreeze_r1","Vitvi01g00382","The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."
"Vitvi01g00719","Vitvi01g00719","22 x 11","CabFra_freeze_r1","Vitvi01g00719","Catalysis of the reaction: NADP(+) + thioredoxin = H(+) + NADPH + thioredoxin disulfide."
"Vitvi01g00722","Vitvi01g00722","8 x 1","Chard_freeze_r2","Vitvi01g00722","Catalysis of the reaction: NADP(+) + thioredoxin = H(+) + NADPH + thioredoxin disulfide."
"Vitvi01g02058","Vitvi01g02058","21 x 1","Tocai_warm_r1","Vitvi01g02058","Catalysis of the reaction: NADP(+) + thioredoxin = H(+) + NADPH + thioredoxin disulfide."
"Vitvi03g00621","Vitvi03g00621","8 x 32","Tocai_acclim_r3","Vitvi03g00621","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi03g00804","Vitvi03g00804","40 x 16","Tocai_freeze_r1","Vitvi03g00804","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."
"Vitvi03g01428","Vitvi03g01428","37 x 1","Sangio_warm_r1","Vitvi03g01428","Catalysis of the reaction: N,N-dimethylaniline + NADPH + H+ + O2 = N,N-dimethylaniline N-oxide + NADP+ + H2O."
"Vitvi03g01431","Vitvi03g01431","37 x 1","Sangio_warm_r1","Vitvi03g01431","Catalysis of the reaction: N,N-dimethylaniline + NADPH + H+ + O2 = N,N-dimethylaniline N-oxide + NADP+ + H2O."
"Vitvi04g00256","Vitvi04g00256","4 x 14","CabFra_freeze_r3","Vitvi04g00256","Catalysis of the reaction: NADP(+) + thioredoxin = H(+) + NADPH + thioredoxin disulfide."
"Vitvi13g00241","Vitvi13g00241","40 x 8","Chard_warm_r1","Vitvi13g00241","Any process carried out at the cellular level that reduces or removes the toxicity superoxide radicals or hydrogen peroxide."
"Vitvi04g01438","Vitvi04g01438","11 x 12","Sangio_accfreeze_r1","Vitvi04g01438","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
