"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00536","Vitvi01g00536","10 x 4","Tocai_freeze_r2","Vitvi01g00536","The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."
"Vitvi04g00328","Vitvi04g00328","3 x 12","CabFra_freeze_r3","Vitvi04g00328","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g00537","Vitvi04g00537","37 x 17","CabFra_warm_r2","Vitvi04g00537","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g00594","Vitvi04g00594","7 x 1","Sangio_freeze_r2","Vitvi04g00594","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01492","Vitvi04g01492","25 x 27","Chard_acclim_r3","Vitvi04g01492","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00364","Vitvi05g00364","28 x 29","CabFra_warm_r2","Vitvi05g00364","Binding to nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NADP+, or the reduced form, NADPH."
"Vitvi06g00346","Vitvi06g00346","28 x 10","Sangio_accfreeze_r1","Vitvi06g00346","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00617","Vitvi06g00617","36 x 14","Tocai_freeze_r3","Vitvi06g00617","The chemical reactions and pathways resulting in the formation of tryptophan, the chiral amino acid 2-amino-3-(1H-indol-3-yl)propanoic acid; tryptophan is synthesized from chorismate via anthranilate."
"Vitvi06g01946","Vitvi06g01946","24 x 1","Tocai_warm_r1","Vitvi06g01946","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00047","Vitvi07g00047","29 x 23","CabFra_warm_r3","Vitvi07g00047","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
