"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi09g00285",1,"Vitvi09g00285","Vitvi09g00285",3.17640072449543,0.892800333160591,2.30975413945068,-1.98983111388893,0.363089351172001,2.94204642959176,"0.00235354357092588      .","26 x 21","9 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi15g01503",2,"Vitvi15g01503","Vitvi15g01503",1.13715394911655,0.791869879049944,1.94982620858415,-1.13715394911655,0.435757991846815,3.65518581174674,"0.000280665010140013      .","27 x 21","15 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi17g00820",3,"Vitvi17g00820","Vitvi17g00820",1.46224716702397,1.06143183146213,1.77230869211696,-1.46224716702397,0.271391623951345,2.12886006339195,"0.0187997469407435      .","26 x 21","17 ","Binding to a zinc ion (Zn)."
"Vitvi11g00950",4,"Vitvi11g00950","",0.840771987440955,0.948475102436044,1.76901944281128,-0.840771987440955,0.28523168407504,2.24678665540152,"0.0142716046738588      .","26 x 20"," ",""
"Vitvi06g01650",5,"Vitvi06g01650","",0.764824328291485,0.708167744773568,1.76117014531111,-0.764824328291485,0.182926924582094,1.40477138628733,"0.0827578120874171      .","30 x 22"," ",""
"Vitvi17g01556",6,"Vitvi17g01556","Vitvi17g01556",0.963035963205526,0.63978450618898,1.73016716125308,-0.963035963205526,0.29114078942209,2.29759611902336,"0.0126381878919335      .","28 x 20","17 ",""
"Vitvi10g01613",7,"Vitvi10g01613","Vitvi10g01613",3.79458905434991,1.59919967463282,1.70930064389223,-3.79458905434991,0.321362174227943,2.56213623413745,"0.00653543665066603      .","27 x 21","10 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g03061",8,"Vitvi07g03061","Vitvi07g03061",1.0078362859486,0.549992627656589,1.64888202836543,-0.98271694216369,0.481093652208382,4.14315615819334,"5.73721459928844e-05      .","30 x 24","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01880",9,"Vitvi07g01880","Vitvi07g01880",1.79806551037754,1.02310424367437,1.64854407081195,-1.72422053068193,0.425332864901738,3.54813421315028,"0.000392328518928675      .","27 x 21","7 ","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi00g00589",10,"Vitvi00g00589","",1.00827786610278,0.55003185099767,1.64844044821125,-0.983158522317871,0.481410088502711,4.14670303048983,"5.66947680479268e-05      .","30 x 24"," ",""
"Vitvi12g02375",11,"Vitvi12g02375","Vitvi12g02375",1.34510552849714,0.618587661048877,1.56220926446598,-1.28150378900625,0.148492647169183,1.13366324522143,"0.130840747282728      .","30 x 20","12 ",""
"Vitvi08g02357",12,"Vitvi08g02357","Vitvi08g02357",1.28698670320912,0.494211367519251,1.52153645564239,-1.25950213479053,0.265717217944973,2.08092826029072,"0.0209723319991832      .","26 x 18","8 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi12g02389",13,"Vitvi12g02389","Vitvi12g02389",0.989375895010454,0.703704332004159,1.50517331924993,-0.989375895010454,0.406500405274241,3.3590639076818,"0.00069974958863428      .","26 x 21","12 ","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi11g00156",14,"Vitvi11g00156","Vitvi11g00156",1.57858481900946,0.589093999281849,1.50424074413221,-1.35392223153088,-0.0812738852091312,-0.615641037400573,"0.729708999355483      .","21 x 21","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00822",15,"Vitvi06g00822","Vitvi06g00822",1.24322343340566,0.610503579053853,1.47358621727319,-1.22829281659066,0.597742822475917,5.62919715034487,"2.88717112217896e-07      .","29 x 24","6 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi15g00419",16,"Vitvi15g00419","Vitvi15g00419",1.79180093977015,0.669285760735545,1.46935739056681,-1.76668159598524,0.740124982683591,8.30940649374371,"1.05488950907784e-11      .","30 x 26","15 ","Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the unwinding of a DNA or RNA helix."
"Vitvi11g00092",17,"Vitvi11g00092","Vitvi11g00092",1.35979983183025,0.515850157904615,1.4609460427341,-1.25669516964527,0.611194624192877,5.83011096681304,"1.36264043160139e-07      .","28 x 25","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g00012",18,"Vitvi14g00012","",1.03925408102672,0.581170316330809,1.41274536409292,-1.02432346421172,0.0452658797165619,0.342100559145496,"0.366766703817251      .","25 x 29"," ",""
"Vitvi03g00392",19,"Vitvi03g00392","Vitvi03g00392",0.62762773870822,0.479855767215811,1.37636166628087,-0.612697121893219,0.545767017352181,4.91737538423098,"3.90099966895985e-06      .","27 x 22","3 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi08g01813",20,"Vitvi08g01813","Vitvi08g01813",2.91485061447237,0.556664926987416,1.35915440416422,-1.38846962566082,0.780714279619036,9.43250956162004,"1.52988732793347e-13      .","31 x 25","8 ","A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."
"Vitvi15g01710",21,"Vitvi15g01710","",0.768174362702468,0.723911197502145,1.3550334503208,-0.768174362702468,0.364382859072437,2.95412888693209,"0.00227523037085386      .","27 x 21"," ",""
