"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00064","Vitvi01g00064","35 x 40","Riesl_acclim_r3","Vitvi01g00064","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00131","Vitvi01g00131","12 x 35","CabFra_accfreeze_r2","Vitvi01g00131","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi01g00405","Vitvi01g00405","9 x 20","Chard_freeze_r2","Vitvi01g00405","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00509","Vitvi01g00509","2 x 40","Chard_acclim_r2","Vitvi01g00509","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00533","Vitvi01g00533","1 x 15","CabFra_accfreeze_r3","Vitvi01g00533","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00642","Vitvi01g00642","5 x 16","Tocai_accfreeze_r2","Vitvi01g00642","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00649","Vitvi01g00649","13 x 36","Tocai_accfreeze_r2","Vitvi01g00649",""
"Vitvi01g00714","Vitvi01g00714","1 x 3","CabFra_freeze_r3","Vitvi01g00714","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00784","Vitvi01g00784","22 x 4","Chard_accfreeze_r1","Vitvi01g00784","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00793","Vitvi01g00793","8 x 12","Sangio_freeze_r2","Vitvi01g00793","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi01g00822","Vitvi01g00822","40 x 3","Riesl_warm_r2","Vitvi01g00822","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi01g00882","Vitvi01g00882","37 x 20","Riesl_warm_r2","Vitvi01g00882","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00885","Vitvi01g00885","15 x 19","Sangio_accfreeze_r2","Vitvi01g00885","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01022","Vitvi01g01022","30 x 34","CabFra_warm_r1","Vitvi01g01022","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01173","Vitvi01g01173","1 x 15","Riesl_freeze_r1","Vitvi01g01173","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01778","Vitvi01g01778","26 x 34","Sangio_accfreeze_r2","Vitvi01g01778","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi01g01805","Vitvi01g01805","40 x 23","Tocai_warm_r3","Vitvi01g01805","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g01838","Vitvi01g01838","27 x 27","CabFra_accfreeze_r2","Vitvi01g01838","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00088","Vitvi02g00088","20 x 22","Sangio_freeze_r2","Vitvi02g00088","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00250","Vitvi02g00250","1 x 14","Sangio_accfreeze_r3","Vitvi02g00250","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi02g00256","Vitvi02g00256","28 x 29","CabFra_warm_r3","Vitvi02g00256","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
