"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi12g02565",1,"Vitvi12g02565","Vitvi12g02565",0.743906969925791,1.22557217086331,4.82805513063765,-0.743906969925791,0.382550308825551,3.12596941203901,"0.00139399733214129      .","36 x 1","12 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi09g02008",2,"Vitvi09g02008","Vitvi09g02008",0.81495154816525,1.11923241495275,4.52840503879078,-0.81495154816525,0.348820267409394,2.81003454863831,"0.0033882844488754      .","31 x 1","9 ","An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins."
"Vitvi04g01863",3,"Vitvi04g01863","",1.07844091807628,1.69840513856804,4.464644889375,-1.07844091807628,0.20880720159492,1.61199324940681,"0.0562436658441154      .","33 x 1"," ",""
"Vitvi11g01446",4,"Vitvi11g01446","Vitvi11g01446",1.22818690241004,1.60955388044933,4.15346993346013,-1.22818690241004,0.195755677408707,1.50708090305691,"0.0686562547345844      .","33 x 1","11 ","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi11g01457",5,"Vitvi11g01457","Vitvi11g01457",2.45090141038921,1.44019572417773,4.0928255515598,-2.45090141038921,0.100171418844756,0.760100786961803,"0.22516347124425      .","31 x 1","11 ","Binding to a protein."
"Vitvi10g01863",6,"Vitvi10g01863","",0.888810081398928,1.35060133696077,3.94347052339393,-0.888810081398928,0.454715274276505,3.85457326524181,"0.000148419445217929      .","33 x 1"," ",""
"Vitvi03g00325",7,"Vitvi03g00325","Vitvi03g00325",1.5315556477826,1.45533634474107,3.9000917535264,-1.504071079364,0.689521070807133,7.18765292408065,"7.74309172335563e-10      .","40 x 3","3 ","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi13g00369",8,"Vitvi13g00369","Vitvi13g00369",1.44055601414538,1.27101347519204,3.82390722258252,-1.44055601414538,0.629916476949055,6.12333255529026,"4.51307131665857e-08      .","40 x 3","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi10g01433",9,"Vitvi10g01433","",2.28164532663774,1.61299950739326,3.75929830155491,-2.10392439320343,0.404184464657943,3.33617674927278,"0.000749647326824698      .","33 x 1"," ",""
"Vitvi17g00339",10,"Vitvi17g00339","Vitvi17g00339",1.55605835384293,1.35250189734143,3.72297969927693,-1.55605835384293,0.578991060323357,5.3613454548388,"7.77947371410903e-07      .","34 x 1","17 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi13g02005",11,"Vitvi13g02005","Vitvi13g02005",3.97103586344991,1.5430189334251,3.5056388143769,-2.70819763037783,0.544906825257056,4.90634822237258,"4.05809548131852e-06      .","40 x 5","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi00g00346",12,"Vitvi00g00346","",1.37952096006281,1.58360413878813,3.48367249417461,-1.37952096006281,0.615016448876106,5.88863447345391,"1.09382503499234e-07      .","40 x 1"," ",""
"Vitvi07g02904",13,"Vitvi07g02904","",1.37893803555092,1.5837361383361,3.48356114395738,-1.37893803555092,0.614971837238125,5.8879475186485,"1.09665280523252e-07      .","40 x 1"," ",""
"Vitvi08g01434",14,"Vitvi08g01434","Vitvi08g01434",0.973385190756864,0.939938378043733,3.40246106668455,-0.973385190756864,0.449977974060183,3.8041526936301,"0.000174641682274768      .","33 x 1","8 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi10g00378",15,"Vitvi10g00378","",1.41116734181212,1.57259470496417,3.33516241875407,-1.41116734181212,0.398604723027622,3.28134856571815,"0.000883206995313746      .","34 x 1"," ",""
