"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01660","Vitvi01g01660","35 x 39","CabFra_acclim_r3","Vitvi01g01660","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01678","Vitvi01g01678","7 x 12","Sangio_freeze_r2","Vitvi01g01678","Binding to a metal ion."
"Vitvi01g01837","Vitvi01g01837","20 x 38","Chard_acclim_r2","Vitvi01g01837","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01556","Vitvi04g01556","21 x 9","Sangio_accfreeze_r1","Vitvi04g01556","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00245","Vitvi05g00245","30 x 7","Riesl_freeze_r1","Vitvi05g00245","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi05g00376","Vitvi05g00376","5 x 19","Riesl_freeze_r1","Vitvi05g00376","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00491","Vitvi07g00491","16 x 21","CabFra_freeze_r1","Vitvi07g00491","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01720","Vitvi08g01720","8 x 30","Riesl_acclim_r1","Vitvi08g01720","Binding to a metal ion."
"Vitvi11g00909","Vitvi11g00909","17 x 20","CabFra_freeze_r1","Vitvi11g00909","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g00280","Vitvi12g00280","39 x 37","Chard_warm_r2","Vitvi12g00280","Binding to a metal ion."
"Vitvi14g01524","Vitvi14g01524","40 x 13","Chard_warm_r1","Vitvi14g01524","Binding to a metal ion."
"Vitvi15g00619","Vitvi15g00619","35 x 26","Sangio_freeze_r2","Vitvi15g00619","Binding to a metal ion."
"Vitvi15g00620","Vitvi15g00620","37 x 40","Tocai_warm_r1","Vitvi15g00620","Binding to a metal ion."
"Vitvi17g00100","Vitvi17g00100","35 x 30","Sangio_accfreeze_r2","Vitvi17g00100","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi17g00473","Vitvi17g00473","19 x 36","CabFra_freeze_r1","Vitvi17g00473","Binding to a metal ion."
"Vitvi18g00027","Vitvi18g00027","1 x 33","Sangio_accfreeze_r1","Vitvi18g00027","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g00200","Vitvi19g00200","40 x 28","Tocai_warm_r3","Vitvi19g00200","Binding to a metal ion."
