"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00009","Vitvi02g00009","15 x 33","Tocai_accfreeze_r3","Vitvi02g00009","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00363","Vitvi02g00363","20 x 8","CabFra_freeze_r3","Vitvi02g00363","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g00470","Vitvi02g00470","12 x 9","Sangio_freeze_r3","Vitvi02g00470","The process of introducing a phosphate group on to an amino acid residue in the C-terminal domain of RNA polymerase II. Typically, this occurs during the transcription cycle and results in production of an RNA polymerase II enzyme where the carboxy-terminal domain (CTD) of the largest subunit is extensively phosphorylated, often referred to as hyperphosphorylated or the II(0) form. Specific types of phosphorylation within the CTD are usually associated with specific regions of genes, though there are exceptions. The phosphorylation state regulates the association of specific complexes such as the capping enzyme or 3'-RNA processing machinery to the elongating RNA polymerase complex."
"Vitvi04g00513","Vitvi04g00513","15 x 32","Tocai_accfreeze_r2","Vitvi04g00513","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi10g00176","Vitvi10g00176","7 x 34","CabFra_accfreeze_r2","Vitvi10g00176","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01266","Vitvi04g01266","15 x 8","Sangio_freeze_r2","Vitvi04g01266","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00072","Vitvi06g00072","21 x 22","Sangio_accfreeze_r1","Vitvi06g00072","A complex composed of TATA binding protein (TBP) and TBP associated factors (TAFs); the total mass is typically about 800 kDa. Most of the TAFs are conserved across species. In TATA-containing promoters for RNA polymerase II (Pol II), TFIID is believed to recognize at least two distinct elements, the TATA element and a downstream promoter element. TFIID is also involved in recognition of TATA-less Pol II promoters. Binding of TFIID to DNA is necessary but not sufficient for transcription initiation from most RNA polymerase II promoters."
"Vitvi06g00314","Vitvi06g00314","27 x 24","Tocai_acclim_r1","Vitvi06g00314","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"Vitvi06g00515","Vitvi06g00515","9 x 35","Sangio_acclim_r2","Vitvi06g00515","A transcription initiation process that takes place at a RNA polymerase II gene promoter. Messenger RNAs (mRNA) genes, as well as some non-coding RNAs, are transcribed by RNA polymerase II."
"Vitvi06g01286","Vitvi06g01286","5 x 40","Tocai_accfreeze_r2","Vitvi06g01286","Binding to a metal ion."
"Vitvi06g01573","Vitvi06g01573","11 x 33","Tocai_accfreeze_r3","Vitvi06g01573","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00137","Vitvi07g00137","15 x 24","Riesl_freeze_r3","Vitvi07g00137","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g02218","Vitvi07g02218","9 x 34","CabFra_accfreeze_r1","Vitvi07g02218","Binding to a nonidentical protein to form a heterodimer."
