"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00143","Vitvi01g00143","9 x 15","Riesl_freeze_r3","Vitvi01g00143","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g01562","Vitvi01g01562","11 x 7","CabFra_freeze_r3","Vitvi01g01562","Binding to a metal ion."
"Vitvi03g00392","Vitvi03g00392","27 x 22","CabFra_acclim_r3","Vitvi03g00392","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi04g01206","Vitvi04g01206","29 x 36","Riesl_warm_r1","Vitvi04g01206","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01671","Vitvi04g01671","7 x 21","Sangio_accfreeze_r1","Vitvi04g01671","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g00018","Vitvi05g00018","31 x 8","Sangio_freeze_r3","Vitvi05g00018","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi05g00966","Vitvi05g00966","6 x 11","Sangio_freeze_r1","Vitvi05g00966","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi06g00149","Vitvi06g00149","38 x 5","Sangio_warm_r3","Vitvi06g00149","Binding to a metal ion."
"Vitvi06g00150","Vitvi06g00150","14 x 1","Sangio_warm_r3","Vitvi06g00150","Binding to a metal ion."
"Vitvi06g00153","Vitvi06g00153","20 x 1","CabFra_freeze_r2","Vitvi06g00153","Binding to a metal ion."
"Vitvi06g00155","Vitvi06g00155","17 x 16","Tocai_accfreeze_r1","Vitvi06g00155","Binding to a metal ion."
"Vitvi06g00158","Vitvi06g00158","40 x 2","Tocai_warm_r1","Vitvi06g00158","Binding to a metal ion."
"Vitvi07g00795","Vitvi07g00795","24 x 3","Tocai_freeze_r1","Vitvi07g00795","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi08g00667","Vitvi08g00667","3 x 10","Sangio_freeze_r3","Vitvi08g00667","Binding to FAD, flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes, in either the oxidized form, FAD, or the reduced form, FADH2."
