"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00369","Vitvi01g00369","1 x 20","CabFra_freeze_r1","Vitvi01g00369","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00510","Vitvi02g00510","37 x 37","Tocai_warm_r3","Vitvi02g00510","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00698","Vitvi02g00698","12 x 3","Riesl_warm_r1","Vitvi02g00698","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g01063","Vitvi05g01063","14 x 2","Sangio_warm_r3","Vitvi05g01063","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi06g00972","Vitvi06g00972","36 x 32","Chard_warm_r2","Vitvi06g00972","The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."
"Vitvi07g02251","Vitvi07g02251","30 x 40","Chard_warm_r3","Vitvi07g02251","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi08g00274","Vitvi08g00274","31 x 40","CabFra_acclim_r3","Vitvi08g00274","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00492","Vitvi11g00492","36 x 36","Riesl_warm_r1","Vitvi11g00492","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g00096","Vitvi12g00096","17 x 40","Sangio_accfreeze_r1","Vitvi12g00096","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi15g00708","Vitvi15g00708","38 x 39","Tocai_warm_r3","Vitvi15g00708","The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."
"Vitvi15g00906","Vitvi15g00906","40 x 9","Sangio_warm_r3","Vitvi15g00906","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi16g01212","Vitvi16g01212","37 x 26","Tocai_warm_r3","Vitvi16g01212","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
