"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00204","Vitvi01g00204","18 x 20","CabFra_freeze_r3","Vitvi01g00204","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g02160","Vitvi01g02160","15 x 22","Tocai_freeze_r2","Vitvi01g02160","Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."
"Vitvi02g00034","Vitvi02g00034","15 x 1","CabFra_freeze_r2","Vitvi02g00034","The chemical reactions and pathways resulting in the formation of terpenoids, any member of a class of compounds characterized by an isoprenoid chemical structure."
"Vitvi02g00420","Vitvi02g00420","24 x 1","Sangio_freeze_r1","Vitvi02g00420","Catalysis of the reaction: acetoacetyl-CoA + acetyl-CoA + H(2)O = (S)-3-hydroxy-3-methylglutaryl-CoA + CoA + H(+)."
"Vitvi02g00831","Vitvi02g00831","28 x 5","Riesl_freeze_r2","Vitvi02g00831","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00262","Vitvi03g00262","10 x 17","Tocai_freeze_r3","Vitvi03g00262","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi03g00374","Vitvi03g00374","15 x 2","Tocai_freeze_r3","Vitvi03g00374","Binding to a metal ion."
"Vitvi03g01505","Vitvi03g01505","25 x 36","Sangio_accfreeze_r1","Vitvi03g01505","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00438","Vitvi04g00438","6 x 27","Sangio_acclim_r3","Vitvi04g00438","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g01175","Vitvi04g01175","20 x 6","CabFra_freeze_r2","Vitvi04g01175","The chemical reactions and pathways resulting in the formation of an isoprenoid compound, isoprene (2-methylbuta-1,3-diene) or compounds containing or derived from linked isoprene (3-methyl-2-butenylene) residues."
"Vitvi07g01408","Vitvi07g01408","1 x 40","Tocai_acclim_r1","Vitvi07g01408","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g01230","Vitvi04g01230","33 x 11","Tocai_freeze_r3","Vitvi04g01230","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi04g01740","Vitvi04g01740","9 x 17","Sangio_warm_r2","Vitvi04g01740","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi05g00289","Vitvi05g00289","23 x 40","Tocai_acclim_r3","Vitvi05g00289","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi05g00372","Vitvi05g00372","31 x 40","Riesl_acclim_r2","Vitvi05g00372","Binding to a metal ion."
