"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00171","Vitvi01g00171","12 x 21","Tocai_accfreeze_r3","Vitvi01g00171","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00233","Vitvi01g00233","13 x 31","Tocai_acclim_r3","Vitvi01g00233","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00313","Vitvi01g00313","14 x 22","Sangio_warm_r1","Vitvi01g00313","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00337","Vitvi01g00337","40 x 35","CabFra_warm_r3","Vitvi01g00337","Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S -> X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an amide bond: an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate or, in the linear extension of ubiquitin chains, a peptide bond the between the C-terminal glycine and N-terminal methionine of ubiquitin residues."
"Vitvi01g00354","Vitvi01g00354","9 x 23","Sangio_acclim_r2","Vitvi01g00354","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00381","Vitvi01g00381","6 x 1","Riesl_freeze_r3","Vitvi01g00381","Binding to a zinc ion (Zn)."
"Vitvi01g00492","Vitvi01g00492","5 x 33","Chard_acclim_r2","Vitvi01g00492","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00705","Vitvi01g00705","19 x 1","Sangio_freeze_r3","Vitvi01g00705","Binding to a metal ion."
"Vitvi01g01015","Vitvi01g01015","3 x 37","Tocai_accfreeze_r3","Vitvi01g01015","Binding to a zinc ion (Zn)."
"Vitvi01g01023","Vitvi01g01023","6 x 36","CabFra_accfreeze_r3","Vitvi01g01023","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g01503","Vitvi01g01503","34 x 12","Riesl_warm_r2","Vitvi01g01503","Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S -> X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an amide bond: an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate or, in the linear extension of ubiquitin chains, a peptide bond the between the C-terminal glycine and N-terminal methionine of ubiquitin residues."
"Vitvi01g01505","Vitvi01g01505","40 x 14","Riesl_warm_r1","Vitvi01g01505","The process in which one or more ubiquitin groups are added to a protein."
"Vitvi01g01785","Vitvi01g01785","33 x 40","Sangio_warm_r1","Vitvi01g01785","Catalysis of the transfer of ubiquitin from one protein to another via the reaction X-Ub + Y --> Y-Ub + X, where both X-Ub and Y-Ub are covalent linkages."
"Vitvi01g02099","Vitvi01g02099","1 x 5","Sangio_freeze_r2","Vitvi01g02099","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00130","Vitvi02g00130","1 x 3","Chard_accfreeze_r1","Vitvi02g00130","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00278","Vitvi02g00278","28 x 39","Tocai_acclim_r3","Vitvi02g00278","Binding to a zinc ion (Zn)."
"Vitvi02g00280","Vitvi02g00280","37 x 38","Chard_warm_r3","Vitvi02g00280","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00384","Vitvi02g00384","8 x 31","CabFra_accfreeze_r2","Vitvi02g00384","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00670","Vitvi02g00670","29 x 12","Tocai_freeze_r2","Vitvi02g00670","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."
"Vitvi02g00708","Vitvi02g00708","40 x 5","Sangio_warm_r2","Vitvi02g00708","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00714","Vitvi02g00714","1 x 38","CabFra_accfreeze_r3","Vitvi02g00714",""
"Vitvi02g01231","Vitvi02g01231","34 x 37","CabFra_warm_r2","Vitvi02g01231",""
"Vitvi03g00372","Vitvi03g00372","14 x 22","Tocai_warm_r1","Vitvi03g00372","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
