"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi09g01553",1,"Vitvi09g01553","",1.85030395293628,0.85180588565505,2.6028282591417,-1.82877288731378,0.248354384486379,1.93568083256597,"0.0289361714096732      .","24 x 40"," ",""
"Vitvi18g00967",2,"Vitvi18g00967","Vitvi18g00967",0.814663501307552,0.758070453354706,2.37327022185496,-0.814663501307552,0.364522498997787,2.95543441881342,"0.00226691507408006      .","26 x 40","18 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g02067",3,"Vitvi07g02067","Vitvi07g02067",1.07647817105119,0.638214786095647,2.22467715406955,-1.07647817105119,0.241342473251081,1.87759748031184,"0.0327780596088258      .","27 x 29","7 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g00109",4,"Vitvi19g00109","",1.10186957627639,0.937256991992262,2.21655630597325,-1.10186957627639,0.420667734034384,3.50079365249205,"0.000454208589144023      .","26 x 40"," ",""
"Vitvi05g01450",5,"Vitvi05g01450","Vitvi05g01450",0.5951158687466,0.653624281383317,2.15244072753722,-0.5951158687466,0.391848449320211,3.21553822082754,"0.00107316328819951      .","33 x 28","5 ","Binding to a protein."
"Vitvi19g01896",6,"Vitvi19g01896","Vitvi19g01896",0.790528027061598,0.82458388844042,2.10813784554452,-0.790528027061598,0.490582209809615,4.25044305769761,"3.99777421984382e-05      .","26 x 40","19 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi19g01854",7,"Vitvi19g01854","Vitvi19g01854",1.00730255396393,0.727019002027332,2.06016679917909,-1.00730255396393,0.345768582191075,2.78209570811979,"0.00365527387352116      .","30 x 34","19 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi07g00251",8,"Vitvi07g00251","Vitvi07g00251",0.885596394228978,0.739154213345504,2.02368484617456,-0.872942081213969,0.415967897279752,3.45344210082028,"0.000525318433058586      .","26 x 40","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00431",9,"Vitvi18g00431","Vitvi18g00431",2.25224945249437,0.766707997492435,2.01108039745033,-1.80422374000436,0.348096397198771,2.80339820910524,"0.0034500220461986      .","25 x 40","18 ","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"Vitvi05g02157",10,"Vitvi05g02157","Vitvi05g02157",0.752795071985367,0.687478555351749,1.98318716911305,-0.752795071985367,0.464191104913051,3.95667519377619,"0.000106424475594613      .","24 x 40","5 ","Binding to a protein."
"Vitvi09g00448",11,"Vitvi09g00448","Vitvi09g00448",0.835054091258136,0.676267852368529,1.9564042152417,-0.818058286170529,0.45084074825764,3.81330519515915,"0.0001695726580071      .","34 x 29","9 ","Binding to a metal ion."
"Vitvi09g00246",12,"Vitvi09g00246","",2.26420548073426,0.919196349830904,1.92011463471614,-2.24267441511177,0.158833658446229,1.21458656626361,"0.114765822805074      .","24 x 32"," ",""
"Vitvi18g01063",13,"Vitvi18g01063","Vitvi18g01063",1.33793027579421,0.905357098866978,1.88264783559793,-1.33793027579421,0.365430156212127,2.96392596606849,"0.00221351585931162      .","24 x 40","18 ",""
"Vitvi14g02049",14,"Vitvi14g02049","Vitvi14g02049",0.643218043454796,0.598064084916259,1.86669078034642,-0.643218043454796,0.351386466978511,2.83360737117492,"0.00317713400401676      .","24 x 40","14 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi17g00427",15,"Vitvi17g00427","Vitvi17g00427",4.21158344041959,0.678043661155938,1.82443451447183,-0.90907902625539,0.542415372758507,4.87453319192645,"4.54693529050587e-06      .","26 x 40","17 ","Catalysis of the reaction: H2O + L-arginyl- + NH4+, resulting in citrullination of the target protein. This reaction is calcium-dependent."
"Vitvi08g01656",16,"Vitvi08g01656","Vitvi08g01656",1.44016554455666,0.751378958753151,1.75405492337901,-1.36120126789877,0.467823923235103,3.99627346977899,"9.34413802397005e-05      .","29 x 33","8 ","The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
"Vitvi14g02885",17,"Vitvi14g02885","",0.965338362503912,0.646820883578734,1.7081913810958,-0.965338362503912,0.500863092871059,4.36893997464691,"2.67021802393685e-05      .","24 x 34"," ",""
"Vitvi18g01605",18,"Vitvi18g01605","Vitvi18g01605",0.713002244083839,0.575642639257944,1.68492862142696,-0.713002244083839,0.587160941213201,5.4763817252236,"5.09001961801481e-07      .","25 x 40","18 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g02888",19,"Vitvi14g02888","Vitvi14g02888",0.840632341894145,0.696125932464705,1.65646371343394,-0.840632341894145,0.604512501218167,5.7293424533431,"1.9872073120375e-07      .","26 x 40","14 ","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi04g02062",20,"Vitvi04g02062","Vitvi04g02062",1.85022061913977,0.558130422480192,1.60460107461884,-1.51093683216738,0.440819898581295,3.70781378740846,"0.000237612481828298      .","30 x 34","4 ","Growth of pollen via tip extension of the intine wall."
"Vitvi14g00018",21,"Vitvi14g00018","",0.89933537631142,0.6421069735391,1.60441605398194,-0.894678250282503,0.400750551274927,3.30238219172904,"0.000829512192644599      .","32 x 33"," ",""
"Vitvi07g01329",22,"Vitvi07g01329","Vitvi07g01329",2.52027474607807,0.621821443508804,1.59203141838741,-1.90703891571786,0.629232272177243,6.11231815406413,"4.70514738282191e-08      .","26 x 40","7 ","The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"Vitvi15g00916",23,"Vitvi15g00916","Vitvi15g00916",0.642522191494399,0.526334113834618,1.57863129648625,-0.642522191494399,0.393325203890713,3.22986954386151,"0.00102878180846311      .","32 x 32","15 ","The process in which the anatomical structures of branches are generated and organized. A branch is a division or offshoot from a main stem. Examples in animals would include blood vessels, nerves, lymphatics and other endothelial or epithelial tubes."
"Vitvi02g00242",24,"Vitvi02g00242","Vitvi02g00242",0.728758590838031,0.524296629748556,1.55264814979482,-0.716104277823022,0.608569543082909,5.79029130479504,"1.58199227495714e-07      .","28 x 31","2 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g02289",25,"Vitvi10g02289","Vitvi10g02289",1.95227203073756,0.688161560917431,1.54266853189298,-1.50424631824754,0.388661664296312,3.184711495416,"0.00117480480899168      .","28 x 29","Un ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi00g00895",26,"Vitvi00g00895","",1.9527013690228,0.687897590124328,1.54223919360774,-1.50467565653279,0.388309542580139,3.18131361451618,"0.0011865459057302      .","28 x 29"," ",""
"Vitvi05g02090",27,"Vitvi05g02090","Vitvi05g02090",1.29066015406922,0.627740392240114,1.53806785319788,-1.20867461068754,0.62759055172495,6.08598530137151,"5.1978895965199e-08      .","31 x 32","5 ","Binding to a protein."
"Vitvi07g02681",28,"Vitvi07g02681","Vitvi07g02681",0.814769942588503,0.609961651116553,1.52337184470316,-0.814769942588503,0.578310501968188,5.35187413422831,"8.05512064494529e-07      .","26 x 38","7 ",""
"Vitvi02g00230",29,"Vitvi02g00230","Vitvi02g00230",0.746056704220768,0.56569638128003,1.48931689892039,-0.733402391205759,0.464112417930965,3.95582032694817,"0.00010672309160209      .","33 x 28","2 ",""
