"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi03g01558",1,"Vitvi03g01558","Vitvi03g01558",0.683099114225032,0.653727877282983,2.51858626911867,-0.661568048602536,0.716696834697792,7.75890434302688,"8.64861515736948e-11      .","25 x 1","3 ","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi16g01103",2,"Vitvi16g01103","Vitvi16g01103",0.67980983725785,0.752052307836373,2.47688767616956,-0.67980983725785,0.753310747932852,8.64782773732468,"2.91677793029521e-12      .","27 x 1","16 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g01380",3,"Vitvi08g01380","",0.795397081538472,0.781496644952096,2.30780183470297,-0.79314913372884,0.671221998986145,6.83652116224278,"2.9773806753397e-09      .","26 x 1"," ",""
"Vitvi08g02383",4,"Vitvi08g02383","Vitvi08g02383",1.71947443504103,0.875989691291731,2.0818116006468,-1.69435509125612,0.632029106006111,6.15749152431761,"3.96554156179008e-08      .","26 x 1","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02125",5,"Vitvi12g02125","Vitvi12g02125",0.85990463960787,0.64604328361878,1.93385646343392,-0.855247513578953,0.47839452272202,4.11298743207923,"6.34591887802571e-05      .","27 x 2","12 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi05g00527",6,"Vitvi05g00527","Vitvi05g00527",1.22358308283959,0.630501177844229,1.92798525825153,-1.03600541035285,0.459561173423909,3.90657651910364,"0.000125355872620525      .","26 x 1","5 ","The directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lipids are compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
"Vitvi12g00409",7,"Vitvi12g00409","Vitvi12g00409",1.5251157530121,0.75759121509074,1.89696669515039,-1.5101851361971,0.64735757942592,6.41239768835067,"1.50567340817531e-08      .","25 x 1","12 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00221",8,"Vitvi13g00221","Vitvi13g00221",0.829430206734635,0.614534621391967,1.88737944394422,-0.816775893719626,0.541419755361096,4.86187059024566,"4.75716618109079e-06      .","27 x 1","13 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01337",9,"Vitvi08g01337","Vitvi08g01337",1.97290290767209,0.704312694767705,1.74085863104225,-1.45278319270732,0.495128616606766,4.30254876165987,"3.34965005636123e-05      .","25 x 1","8 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi02g00085",10,"Vitvi02g00085","Vitvi02g00085",1.70764165155997,0.909508610317902,1.70359572036374,-1.58286028443673,0.401522564583297,3.30996534597901,"0.00081092125073412      .","27 x 1","2 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g01764",11,"Vitvi15g01764","",0.794876630890846,0.61851630229285,1.62336423108393,-0.765371475470012,0.761083924826636,8.858440341151,"1.31572530648327e-12      .","27 x 1"," ",""
"Vitvi00g02025",12,"Vitvi00g02025","",0.795259149894295,0.618624599161234,1.62298171208048,-0.76575399447346,0.761153583406912,8.86036767081391,"1.3061773884715e-12      .","27 x 1"," ",""
