"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00260","Vitvi01g00260","38 x 20","Tocai_warm_r3","Vitvi01g00260","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi02g00089","Vitvi02g00089","1 x 15","Tocai_freeze_r2","Vitvi02g00089","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi02g00796","Vitvi02g00796","12 x 26","Sangio_accfreeze_r1","Vitvi02g00796","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00059","Vitvi03g00059","14 x 22","Sangio_accfreeze_r2","Vitvi03g00059","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g00146","Vitvi03g00146","18 x 6","Sangio_freeze_r2","Vitvi03g00146","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g00292","Vitvi03g00292","13 x 1","Riesl_freeze_r1","Vitvi03g00292","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g01574","Vitvi03g01574","13 x 2","Riesl_warm_r1","Vitvi03g01574","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g00240","Vitvi04g00240","9 x 1","Tocai_freeze_r3","Vitvi04g00240","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g00464","Vitvi04g00464","13 x 2","Sangio_freeze_r2","Vitvi04g00464","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g01363","Vitvi04g01363","23 x 13","Tocai_acclim_r3","Vitvi04g01363","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g02098","Vitvi04g02098","15 x 9","Sangio_freeze_r2","Vitvi04g02098","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00108","Vitvi05g00108","1 x 13","Sangio_accfreeze_r1","Vitvi05g00108","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
