"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00415","Vitvi01g00415","20 x 16","Sangio_freeze_r1","Vitvi01g00415","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi01g01753","Vitvi01g01753","29 x 28","Tocai_warm_r1","Vitvi01g01753","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi01g01973","Vitvi01g01973","32 x 30","Tocai_warm_r1","Vitvi01g01973","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00475","Vitvi03g00475","38 x 38","Tocai_acclim_r3","Vitvi03g00475","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi03g00692","Vitvi03g00692","40 x 19","Tocai_warm_r3","Vitvi03g00692","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi03g00699","Vitvi03g00699","23 x 32","Chard_accfreeze_r3","Vitvi03g00699","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi03g00702","Vitvi03g00702","27 x 21","Riesl_accfreeze_r1","Vitvi03g00702","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi03g00708","Vitvi03g00708","40 x 34","Chard_warm_r2","Vitvi03g00708","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi03g01621","Vitvi03g01621","40 x 33","Tocai_warm_r2","Vitvi03g01621","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi04g01185","Vitvi04g01185","37 x 5","Chard_freeze_r2","Vitvi04g01185","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi04g01186","Vitvi04g01186","22 x 15","CabFra_warm_r2","Vitvi04g01186","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi05g00160","Vitvi05g00160","27 x 40","Tocai_warm_r3","Vitvi05g00160","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi06g01362","Vitvi06g01362","33 x 39","Sangio_warm_r1","Vitvi06g01362","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi06g01924","Vitvi06g01924","30 x 33","Tocai_freeze_r1","Vitvi06g01924","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi08g00970","Vitvi08g00970","40 x 35","Tocai_freeze_r1","Vitvi08g00970","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi08g01569","Vitvi08g01569","40 x 17","Chard_warm_r1","Vitvi08g01569","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi08g02128","Vitvi08g02128","40 x 40","Chard_acclim_r1","Vitvi08g02128","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi10g01361","Vitvi10g01361","11 x 4","Riesl_freeze_r3","Vitvi10g01361","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi11g00712","Vitvi11g00712","35 x 40","CabFra_acclim_r1","Vitvi11g00712","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"Vitvi11g00778","Vitvi11g00778","23 x 27","Tocai_warm_r1","Vitvi11g00778","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi11g00955","Vitvi11g00955","40 x 25","Tocai_warm_r1","Vitvi11g00955","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi11g01222","Vitvi11g01222","40 x 26","Tocai_warm_r2","Vitvi11g01222","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g01224","Vitvi11g01224","40 x 26","Tocai_warm_r2","Vitvi11g01224","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g01227","Vitvi11g01227","40 x 26","Tocai_warm_r2","Vitvi11g01227","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi13g00575","Vitvi13g00575","37 x 36","CabFra_warm_r1","Vitvi13g00575","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi13g00576","Vitvi13g00576","11 x 11","Sangio_freeze_r2","Vitvi13g00576","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi13g01633","Vitvi13g01633","3 x 2","CabFra_freeze_r3","Vitvi13g01633","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi13g02066","Vitvi13g02066","14 x 19","Sangio_acclim_r1","Vitvi13g02066","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi14g01390","Vitvi14g01390","40 x 40","CabFra_warm_r3","Vitvi14g01390","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi14g03060","Vitvi14g03060","8 x 3","Riesl_freeze_r3","Vitvi14g03060","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi14g03061","Vitvi14g03061","19 x 40","Riesl_acclim_r2","Vitvi14g03061","Catalysis of the hydrolysis of a single C-terminal amino acid residue from the C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi17g00040","Vitvi17g00040","40 x 32","CabFra_warm_r2","Vitvi17g00040","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi18g00642","Vitvi18g00642","1 x 31","Tocai_accfreeze_r2","Vitvi18g00642","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi18g01238","Vitvi18g01238","36 x 36","Riesl_warm_r2","Vitvi18g01238","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
