"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01562","Vitvi01g01562","11 x 7","CabFra_freeze_r3","Vitvi01g01562","Binding to a metal ion."
"Vitvi01g01998","Vitvi01g01998","20 x 13","CabFra_freeze_r2","Vitvi01g01998","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi03g00392","Vitvi03g00392","27 x 22","CabFra_acclim_r3","Vitvi03g00392","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi04g01206","Vitvi04g01206","29 x 36","Riesl_warm_r1","Vitvi04g01206","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g02513","Vitvi07g02513","1 x 12","CabFra_freeze_r3","Vitvi07g02513","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi10g00453","Vitvi10g00453","8 x 10","CabFra_freeze_r3","Vitvi10g00453","Binding to a metal ion."
"Vitvi05g00472","Vitvi05g00472","40 x 5","Tocai_freeze_r3","Vitvi05g00472","Binding to a metal ion."
"Vitvi05g00966","Vitvi05g00966","6 x 11","Sangio_freeze_r1","Vitvi05g00966","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi06g00149","Vitvi06g00149","38 x 5","Sangio_warm_r3","Vitvi06g00149","Binding to a metal ion."
"Vitvi06g00150","Vitvi06g00150","14 x 1","Sangio_warm_r3","Vitvi06g00150","Binding to a metal ion."
"Vitvi06g00153","Vitvi06g00153","20 x 1","CabFra_freeze_r2","Vitvi06g00153","Binding to a metal ion."
"Vitvi06g00155","Vitvi06g00155","17 x 16","Tocai_accfreeze_r1","Vitvi06g00155","Binding to a metal ion."
"Vitvi06g00158","Vitvi06g00158","40 x 2","Tocai_warm_r1","Vitvi06g00158","Binding to a metal ion."
