"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01447","Vitvi01g01447","16 x 8","CabFra_freeze_r1","Vitvi01g01447","Binding to a metal ion."
"Vitvi02g00715","Vitvi02g00715","15 x 37","CabFra_accfreeze_r1","Vitvi02g00715","Binding to a metal ion."
"Vitvi03g00060","Vitvi03g00060","22 x 34","Riesl_acclim_r3","Vitvi03g00060","Binding to a metal ion."
"Vitvi04g00047","Vitvi04g00047","2 x 40","Chard_acclim_r2","Vitvi04g00047","Binding to a metal ion."
"Vitvi04g00629","Vitvi04g00629","26 x 3","CabFra_freeze_r1","Vitvi04g00629","Binding to a metal ion."
"Vitvi04g01136","Vitvi04g01136","31 x 1","Chard_freeze_r3","Vitvi04g01136","Binding to a metal ion."
"Vitvi04g01157","Vitvi04g01157","16 x 23","Riesl_warm_r2","Vitvi04g01157","Binding to a metal ion."
"Vitvi04g00907","Vitvi04g00907","20 x 27","Sangio_warm_r2","Vitvi04g00907","Binding to a metal ion."
"Vitvi04g01414","Vitvi04g01414","10 x 14","Riesl_freeze_r3","Vitvi04g01414","Binding to a metal ion."
"Vitvi04g01436","Vitvi04g01436","18 x 23","Riesl_acclim_r1","Vitvi04g01436","Binding to a metal ion."
"Vitvi05g00333","Vitvi05g00333","18 x 35","Chard_acclim_r3","Vitvi05g00333","Binding to a metal ion."
"Vitvi06g00123","Vitvi06g00123","23 x 40","Riesl_accfreeze_r1","Vitvi06g00123","Binding to a metal ion."
"Vitvi06g00218","Vitvi06g00218","30 x 10","Sangio_warm_r1","Vitvi06g00218","Binding to a metal ion."
"Vitvi06g00290","Vitvi06g00290","14 x 29","Sangio_accfreeze_r1","Vitvi06g00290","Binding to a metal ion."
"Vitvi06g00627","Vitvi06g00627","16 x 21","Tocai_freeze_r2","Vitvi06g00627","Binding to a metal ion."
"Vitvi06g00653","Vitvi06g00653","3 x 16","Riesl_freeze_r1","Vitvi06g00653","Binding to a metal ion."
"Vitvi06g01281","Vitvi06g01281","36 x 40","Tocai_acclim_r3","Vitvi06g01281","Binding to a metal ion."
"Vitvi07g00315","Vitvi07g00315","12 x 16","Tocai_freeze_r2","Vitvi07g00315","Binding to a metal ion."
"Vitvi08g01519","Vitvi08g01519","21 x 29","Chard_warm_r1","Vitvi08g01519","Binding to a metal ion."
"Vitvi08g01732","Vitvi08g01732","23 x 25","Sangio_accfreeze_r1","Vitvi08g01732","Binding to a metal ion."
"Vitvi08g01816","Vitvi08g01816","22 x 5","Chard_accfreeze_r1","Vitvi08g01816","Binding to a metal ion."
"Vitvi08g01880","Vitvi08g01880","17 x 22","CabFra_freeze_r1","Vitvi08g01880","Binding to a metal ion."
"Vitvi09g00059","Vitvi09g00059","36 x 26","Tocai_warm_r3","Vitvi09g00059","Binding to a metal ion."
"Vitvi09g00531","Vitvi09g00531","5 x 35","Sangio_accfreeze_r1","Vitvi09g00531","Binding to a metal ion."
"Vitvi10g00486","Vitvi10g00486","21 x 36","Sangio_accfreeze_r1","Vitvi10g00486","Binding to a metal ion."
"Vitvi10g00907","Vitvi10g00907","13 x 7","Sangio_freeze_r3","Vitvi10g00907","Binding to a metal ion."
"Vitvi11g00170","Vitvi11g00170","30 x 13","CabFra_warm_r2","Vitvi11g00170","Binding to a metal ion."
"Vitvi11g00229","Vitvi11g00229","1 x 16","Tocai_accfreeze_r2","Vitvi11g00229","Binding to a metal ion."
"Vitvi11g00436","Vitvi11g00436","5 x 38","Sangio_accfreeze_r1","Vitvi11g00436","Binding to a metal ion."
"Vitvi11g00440","Vitvi11g00440","8 x 26","Sangio_acclim_r2","Vitvi11g00440","Binding to a metal ion."
"Vitvi11g01367","Vitvi11g01367","13 x 36","Sangio_accfreeze_r1","Vitvi11g01367","Binding to a metal ion."
"Vitvi12g00276","Vitvi12g00276","28 x 40","CabFra_acclim_r2","Vitvi12g00276","Binding to a metal ion."
"Vitvi12g00449","Vitvi12g00449","30 x 31","Chard_warm_r2","Vitvi12g00449","Binding to a metal ion."
"Vitvi12g00535","Vitvi12g00535","21 x 25","Chard_acclim_r2","Vitvi12g00535","Binding to a metal ion."
"Vitvi12g00667","Vitvi12g00667","22 x 40","Sangio_accfreeze_r1","Vitvi12g00667","Binding to a metal ion."
"Vitvi12g02076","Vitvi12g02076","29 x 37","Tocai_warm_r3","Vitvi12g02076","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi12g02121","Vitvi12g02121","5 x 34","Sangio_acclim_r1","Vitvi12g02121","Binding to a metal ion."
"Vitvi13g00058","Vitvi13g00058","1 x 1","Riesl_freeze_r2","Vitvi13g00058","Binding to a metal ion."
"Vitvi13g00526","Vitvi13g00526","25 x 5","Sangio_freeze_r1","Vitvi13g00526","Binding to a metal ion."
"Vitvi13g01226","Vitvi13g01226","1 x 19","Chard_acclim_r2","Vitvi13g01226","Binding to a metal ion."
"Vitvi13g01610","Vitvi13g01610","29 x 37","CabFra_acclim_r1","Vitvi13g01610","Binding to a metal ion."
"Vitvi13g01732","Vitvi13g01732","17 x 24","Riesl_acclim_r1","Vitvi13g01732","Binding to a metal ion."
"Vitvi13g01750","Vitvi13g01750","9 x 23","Tocai_accfreeze_r3","Vitvi13g01750","Binding to a metal ion."
"Vitvi13g01819","Vitvi13g01819","27 x 16","CabFra_warm_r2","Vitvi13g01819","Binding to a metal ion."
"Vitvi14g01714","Vitvi14g01714","20 x 23","CabFra_accfreeze_r2","Vitvi14g01714","Binding to a metal ion."
"Vitvi14g02452","Vitvi14g02452","27 x 20","Tocai_acclim_r3","Vitvi14g02452","Binding to a metal ion."
"Vitvi14g01629","Vitvi14g01629","29 x 27","CabFra_warm_r3","Vitvi14g01629","Binding to a metal ion."
"Vitvi15g00994","Vitvi15g00994","18 x 9","Sangio_freeze_r2","Vitvi15g00994","Binding to a metal ion."
"Vitvi16g00084","Vitvi16g00084","14 x 18","Chard_warm_r3","Vitvi16g00084","Binding to a metal ion."
"Vitvi16g00933","Vitvi16g00933","18 x 7","Riesl_freeze_r1","Vitvi16g00933","Binding to a metal ion."
"Vitvi17g01002","Vitvi17g01002","8 x 30","Chard_acclim_r2","Vitvi17g01002","Binding to a metal ion."
"Vitvi18g00035","Vitvi18g00035","26 x 8","CabFra_warm_r1","Vitvi18g00035","Binding to a metal ion."
"Vitvi18g00217","Vitvi18g00217","14 x 23","Riesl_warm_r1","Vitvi18g00217","Binding to a metal ion."
"Vitvi18g01081","Vitvi18g01081","2 x 24","Riesl_freeze_r3","Vitvi18g01081","Binding to a metal ion."
"Vitvi18g01240","Vitvi18g01240","18 x 19","Tocai_freeze_r2","Vitvi18g01240","Binding to a metal ion."
"Vitvi19g00623","Vitvi19g00623","3 x 40","Sangio_accfreeze_r1","Vitvi19g00623","Binding to a metal ion."
"Vitvi19g01773","Vitvi19g01773","30 x 18","Tocai_freeze_r2","Vitvi19g01773","Binding to a metal ion."
