"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00083","Vitvi01g00083","7 x 21","Sangio_freeze_r3","Vitvi01g00083","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi01g00198","Vitvi01g00198","11 x 5","Riesl_warm_r2","Vitvi01g00198","Binding to a calcium ion (Ca2+)."
"Vitvi01g00473","Vitvi01g00473","20 x 36","Tocai_accfreeze_r2","Vitvi01g00473","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01027","Vitvi01g01027","21 x 1","Sangio_freeze_r2","Vitvi01g01027","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01265","Vitvi01g01265","2 x 36","Sangio_accfreeze_r1","Vitvi01g01265","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01311","Vitvi01g01311","31 x 31","CabFra_warm_r3","Vitvi01g01311","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi01g01504","Vitvi01g01504","4 x 28","Riesl_freeze_r2","Vitvi01g01504","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g01586","Vitvi01g01586","4 x 4","Sangio_freeze_r2","Vitvi01g01586","Binding to a calcium ion (Ca2+)."
"Vitvi01g01718","Vitvi01g01718","10 x 4","Sangio_freeze_r2","Vitvi01g01718","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g01803","Vitvi01g01803","40 x 19","Riesl_warm_r2","Vitvi01g01803","Binding to a calcium ion (Ca2+)."
"Vitvi01g01852","Vitvi01g01852","4 x 5","Sangio_freeze_r3","Vitvi01g01852","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi01g01853","Vitvi01g01853","5 x 9","Sangio_freeze_r3","Vitvi01g01853","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi01g01854","Vitvi01g01854","11 x 6","CabFra_freeze_r2","Vitvi01g01854","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi01g02228","Vitvi01g02228","1 x 1","Sangio_freeze_r2","Vitvi01g02228","Binding to a calcium ion (Ca2+)."
"Vitvi02g00023","Vitvi02g00023","17 x 37","Sangio_warm_r3","Vitvi02g00023","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00025","Vitvi02g00025","13 x 1","Riesl_freeze_r1","Vitvi02g00025","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00048","Vitvi02g00048","17 x 3","CabFra_freeze_r2","Vitvi02g00048","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00065","Vitvi02g00065","31 x 15","Tocai_warm_r1","Vitvi02g00065","Binding to a calcium ion (Ca2+)."
"Vitvi02g00413","Vitvi02g00413","6 x 28","Riesl_freeze_r2","Vitvi02g00413","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00485","Vitvi02g00485","38 x 20","Tocai_warm_r1","Vitvi02g00485","Binding to a calcium ion (Ca2+)."
