"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00383","Vitvi02g00383","31 x 21","Tocai_warm_r3","Vitvi02g00383","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00711","Vitvi02g00711","20 x 11","CabFra_acclim_r2","Vitvi02g00711","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g01098","Vitvi02g01098","28 x 26","CabFra_warm_r3","Vitvi02g01098","The region of a mitochondrion to which the DNA is confined."
"Vitvi02g01153","Vitvi02g01153","24 x 16","CabFra_warm_r3","Vitvi02g01153","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00223","Vitvi04g00223","40 x 26","Tocai_warm_r3","Vitvi04g00223","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01580","Vitvi04g01580","31 x 34","Riesl_warm_r1","Vitvi04g01580","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g02109","Vitvi04g02109","34 x 9","Sangio_warm_r3","Vitvi04g02109","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi06g00576","Vitvi06g00576","40 x 25","Tocai_warm_r3","Vitvi06g00576","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01147","Vitvi06g01147","12 x 31","Tocai_accfreeze_r2","Vitvi06g01147","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01341","Vitvi06g01341","7 x 37","Tocai_accfreeze_r3","Vitvi06g01341","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00307","Vitvi07g00307","11 x 40","Sangio_accfreeze_r1","Vitvi07g00307","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00406","Vitvi07g00406","19 x 23","CabFra_warm_r3","Vitvi07g00406","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g00160","Vitvi08g00160","28 x 25","Tocai_warm_r3","Vitvi08g00160","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01737","Vitvi08g01737","32 x 24","CabFra_warm_r3","Vitvi08g01737","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi10g00678","Vitvi10g00678","35 x 25","CabFra_warm_r3","Vitvi10g00678","Binding to a metal ion."
"Vitvi11g00104","Vitvi11g00104","6 x 24","Riesl_freeze_r3","Vitvi11g00104","Binding to a metal ion."
"Vitvi11g00352","Vitvi11g00352","36 x 22","Tocai_warm_r3","Vitvi11g00352","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g01232","Vitvi11g01232","14 x 31","Sangio_accfreeze_r1","Vitvi11g01232","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g00917","Vitvi13g00917","40 x 25","Tocai_warm_r3","Vitvi13g00917","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi15g00307","Vitvi15g00307","17 x 30","Sangio_accfreeze_r1","Vitvi15g00307","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi16g00035","Vitvi16g00035","36 x 22","Tocai_warm_r3","Vitvi16g00035","The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by initiation proteins, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."
"Vitvi16g01009","Vitvi16g01009","5 x 40","Riesl_accfreeze_r3","Vitvi16g01009","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi17g00235","Vitvi17g00235","39 x 25","CabFra_warm_r2","Vitvi17g00235","Binding to a metal ion."
"Vitvi17g00373","Vitvi17g00373","26 x 40","Tocai_warm_r3","Vitvi17g00373","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g00240","Vitvi18g00240","25 x 22","Riesl_accfreeze_r3","Vitvi18g00240","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00252","Vitvi18g00252","23 x 19","Sangio_accfreeze_r1","Vitvi18g00252","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g00074","Vitvi19g00074","22 x 15","Tocai_warm_r3","Vitvi19g00074","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
