"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01663","Vitvi01g01663","25 x 23","Chard_acclim_r3","Vitvi01g01663","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g00269","Vitvi03g00269","30 x 36","Riesl_acclim_r3","Vitvi03g00269","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g00329","Vitvi03g00329","36 x 12","Sangio_warm_r3","Vitvi03g00329","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g01497","Vitvi03g01497","35 x 33","Riesl_acclim_r3","Vitvi03g01497","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi05g01850","Vitvi05g01850","23 x 15","Sangio_accfreeze_r1","Vitvi05g01850","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g00197","Vitvi07g00197","26 x 35","Tocai_acclim_r3","Vitvi07g00197","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g00644","Vitvi07g00644","25 x 38","CabFra_warm_r2","Vitvi07g00644","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g01822","Vitvi07g01822","21 x 20","CabFra_freeze_r2","Vitvi07g01822","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g02166","Vitvi07g02166","26 x 20","CabFra_warm_r3","Vitvi07g02166","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g02173","Vitvi07g02173","9 x 38","Tocai_acclim_r1","Vitvi07g02173","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g02174","Vitvi07g02174","30 x 30","Tocai_warm_r3","Vitvi07g02174","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g02278","Vitvi07g02278","25 x 14","Tocai_warm_r3","Vitvi07g02278","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g02280","Vitvi07g02280","29 x 28","CabFra_warm_r3","Vitvi07g02280","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g02286","Vitvi07g02286","21 x 18","CabFra_accfreeze_r3","Vitvi07g02286","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi08g01387","Vitvi08g01387","37 x 9","Chard_freeze_r1","Vitvi08g01387","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi08g01721","Vitvi08g01721","23 x 18","CabFra_freeze_r2","Vitvi08g01721","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi09g01408","Vitvi09g01408","7 x 40","Sangio_accfreeze_r1","Vitvi09g01408","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi10g00849","Vitvi10g00849","35 x 35","Sangio_warm_r1","Vitvi10g00849","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi10g01334","Vitvi10g01334","25 x 24","Riesl_acclim_r3","Vitvi10g01334","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi11g00182","Vitvi11g00182","39 x 16","CabFra_warm_r2","Vitvi11g00182","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi13g02320","Vitvi13g02320","25 x 24","Tocai_accfreeze_r2","Vitvi13g02320","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi14g02428","Vitvi14g02428","31 x 40","Sangio_acclim_r2","Vitvi14g02428","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi15g00582","Vitvi15g00582","26 x 39","Sangio_accfreeze_r2","Vitvi15g00582","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi16g01344","Vitvi16g01344","22 x 1","Sangio_warm_r2","Vitvi16g01344","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi17g00486","Vitvi17g00486","25 x 34","Sangio_freeze_r2","Vitvi17g00486","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi18g00387","Vitvi18g00387","7 x 31","Tocai_freeze_r2","Vitvi18g00387","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi19g00621","Vitvi19g00621","33 x 40","Riesl_acclim_r1","Vitvi19g00621","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi19g01680","Vitvi19g01680","24 x 17","Sangio_freeze_r2","Vitvi19g01680","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
