"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01346","Vitvi01g01346","23 x 25","CabFra_freeze_r3","Vitvi01g01346","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00402","Vitvi02g00402","40 x 15","Tocai_warm_r3","Vitvi02g00402","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00424","Vitvi02g00424","21 x 13","CabFra_freeze_r3","Vitvi02g00424","Binding to a calcium ion (Ca2+)."
"Vitvi04g00480","Vitvi04g00480","40 x 11","Chard_warm_r1","Vitvi04g00480","Binding to a calcium ion (Ca2+)."
"Vitvi04g00598","Vitvi04g00598","4 x 33","Tocai_acclim_r2","Vitvi04g00598","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g01530","Vitvi04g01530","19 x 40","Sangio_acclim_r1","Vitvi04g01530","Binding to a calcium ion (Ca2+)."
"Vitvi05g00054","Vitvi05g00054","6 x 21","Sangio_freeze_r3","Vitvi05g00054","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi06g00632","Vitvi06g00632","19 x 6","Riesl_freeze_r3","Vitvi06g00632","Catalysis of the hydrolysis of any ester bond."
"Vitvi06g01226","Vitvi06g01226","40 x 38","Sangio_warm_r1","Vitvi06g01226","The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo."
"Vitvi08g01684","Vitvi08g01684","6 x 11","CabFra_freeze_r3","Vitvi08g01684","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"Vitvi09g00200","Vitvi09g00200","34 x 30","Riesl_acclim_r1","Vitvi09g00200","Binding to a calcium ion (Ca2+)."
"Vitvi09g00595","Vitvi09g00595","23 x 33","Riesl_freeze_r3","Vitvi09g00595","Binding to a calcium ion (Ca2+)."
"Vitvi11g00469","Vitvi11g00469","29 x 34","Riesl_accfreeze_r1","Vitvi11g00469","Binding to a calcium ion (Ca2+)."
"Vitvi15g00298","Vitvi15g00298","6 x 3","Sangio_freeze_r2","Vitvi15g00298","Catalysis of the hydrolysis of any ester bond."
"Vitvi15g00766","Vitvi15g00766","1 x 34","Tocai_accfreeze_r3","Vitvi15g00766","Binding to a metal ion."
"Vitvi15g00773","Vitvi15g00773","30 x 8","Sangio_freeze_r2","Vitvi15g00773","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi17g00095","Vitvi17g00095","36 x 36","Sangio_warm_r3","Vitvi17g00095","Catalysis of the hydrolysis of any ester bond."
"Vitvi18g00159","Vitvi18g00159","15 x 30","Tocai_acclim_r3","Vitvi18g00159","Binding to a calcium ion (Ca2+)."
"Vitvi18g00927","Vitvi18g00927","18 x 26","Riesl_freeze_r3","Vitvi18g00927","Catalysis of the transfer of an acyl group to an oxygen atom on the acceptor molecule."
