"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00387","Vitvi02g00387","1 x 16","Riesl_freeze_r2","Vitvi02g00387","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00739","Vitvi02g00739","17 x 8","Riesl_freeze_r3","Vitvi02g00739","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g00092","Vitvi04g00092","14 x 1","Riesl_freeze_r2","Vitvi04g00092","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g00078","Vitvi07g00078","36 x 2","Sangio_warm_r3","Vitvi07g00078","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01097","Vitvi05g01097","11 x 11","CabFra_freeze_r2","Vitvi05g01097","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g01749","Vitvi07g01749","1 x 6","Sangio_freeze_r1","Vitvi07g01749","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01513","Vitvi08g01513","8 x 22","Sangio_warm_r3","Vitvi08g01513","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01931","Vitvi08g01931","5 x 5","Sangio_freeze_r3","Vitvi08g01931","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g00469","Vitvi10g00469","24 x 3","Chard_warm_r3","Vitvi10g00469","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g00635","Vitvi10g00635","9 x 6","Sangio_freeze_r3","Vitvi10g00635","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi11g00160","Vitvi11g00160","14 x 7","Riesl_freeze_r1","Vitvi11g00160","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi11g00339","Vitvi11g00339","2 x 27","Sangio_accfreeze_r2","Vitvi11g00339","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g00121","Vitvi12g00121","1 x 6","Riesl_freeze_r2","Vitvi12g00121","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi16g00114","Vitvi16g00114","3 x 32","Sangio_accfreeze_r2","Vitvi16g00114","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00982","Vitvi16g00982","1 x 36","Tocai_accfreeze_r2","Vitvi16g00982","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00777","Vitvi18g00777","40 x 39","CabFra_warm_r2","Vitvi18g00777","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
