"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00140","Vitvi01g00140","38 x 3","Sangio_warm_r1","Vitvi01g00140","Binding to a metal ion."
"Vitvi01g00541","Vitvi01g00541","1 x 40","Chard_acclim_r3","Vitvi01g00541","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi01g00712","Vitvi01g00712","17 x 25","Riesl_freeze_r3","Vitvi01g00712","Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."
"Vitvi01g01299","Vitvi01g01299","3 x 33","Sangio_accfreeze_r1","Vitvi01g01299","Catalysis of the reaction: 1-phosphatidyl-1D-myo-inositol + ATP = 1-phosphatidyl-1D-myo-inositol 4-phosphate + ADP + 2 H(+)."
"Vitvi02g00149","Vitvi02g00149","31 x 28","Riesl_warm_r2","Vitvi02g00149","Catalysis of the reaction: 1-phosphatidyl-1D-myo-inositol + ATP = 1-phosphatidyl-1D-myo-inositol 4-phosphate + ADP + 2 H(+)."
"Vitvi02g00598","Vitvi02g00598","13 x 32","Sangio_accfreeze_r1","Vitvi02g00598","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g01483","Vitvi02g01483","6 x 30","Sangio_accfreeze_r3","Vitvi02g01483","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abscisic acid stimulus."
"Vitvi03g00150","Vitvi03g00150","28 x 5","CabFra_freeze_r3","Vitvi03g00150","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00287","Vitvi03g00287","24 x 29","Tocai_freeze_r1","Vitvi03g00287","Binding to a metal ion."
"Vitvi03g00358","Vitvi03g00358","18 x 34","Riesl_acclim_r2","Vitvi03g00358","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g01242","Vitvi07g01242","8 x 24","Riesl_freeze_r3","Vitvi07g01242","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi10g00174","Vitvi10g00174","1 x 32","Tocai_accfreeze_r3","Vitvi10g00174","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi10g00383","Vitvi10g00383","11 x 14","CabFra_freeze_r3","Vitvi10g00383","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g01565","Vitvi04g01565","22 x 39","Riesl_acclim_r3","Vitvi04g01565","Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate."
"Vitvi04g01682","Vitvi04g01682","17 x 28","Sangio_accfreeze_r1","Vitvi04g01682","Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."
"Vitvi04g01709","Vitvi04g01709","29 x 28","Chard_acclim_r3","Vitvi04g01709","The chemical reactions and pathways resulting in the formation of phosphatidylinositol phosphate."
"Vitvi05g00533","Vitvi05g00533","36 x 31","Riesl_warm_r2","Vitvi05g00533","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g01630","Vitvi05g01630","25 x 9","CabFra_freeze_r3","Vitvi05g01630","Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate."
"Vitvi05g01683","Vitvi05g01683","1 x 39","Riesl_acclim_r1","Vitvi05g01683","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi06g00647","Vitvi06g00647","11 x 6","Sangio_freeze_r1","Vitvi06g00647","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"Vitvi06g00648","Vitvi06g00648","16 x 16","Tocai_freeze_r1","Vitvi06g00648","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"Vitvi06g00649","Vitvi06g00649","35 x 11","Tocai_freeze_r3","Vitvi06g00649","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"Vitvi06g01309","Vitvi06g01309","5 x 22","CabFra_freeze_r3","Vitvi06g01309","The component of the endoplasmic reticulum membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00105","Vitvi07g00105","34 x 33","Sangio_warm_r1","Vitvi07g00105","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi07g01961","Vitvi07g01961","12 x 15","Tocai_freeze_r1","Vitvi07g01961","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00671","Vitvi08g00671","6 x 29","Tocai_acclim_r2","Vitvi08g00671","Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate."
"Vitvi08g00931","Vitvi08g00931","11 x 3","Sangio_freeze_r1","Vitvi08g00931","Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."
"Vitvi08g01589","Vitvi08g01589","15 x 7","Riesl_freeze_r3","Vitvi08g01589","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g00042","Vitvi09g00042","14 x 5","Riesl_freeze_r2","Vitvi09g00042","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00026","Vitvi11g00026","7 x 24","Riesl_freeze_r3","Vitvi11g00026","The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell."
"Vitvi11g01318","Vitvi11g01318","17 x 4","Riesl_freeze_r3","Vitvi11g01318","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi12g00633","Vitvi12g00633","24 x 29","CabFra_freeze_r3","Vitvi12g00633","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi12g01866","Vitvi12g01866","6 x 22","Riesl_freeze_r1","Vitvi12g01866","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi13g00047","Vitvi13g00047","21 x 3","Sangio_freeze_r3","Vitvi13g00047","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"Vitvi13g00048","Vitvi13g00048","36 x 10","Riesl_freeze_r3","Vitvi13g00048","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"Vitvi13g00731","Vitvi13g00731","17 x 32","Sangio_accfreeze_r1","Vitvi13g00731","Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate."
