"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi05g01467","Vitvi05g01467","34 x 22","CabFra_warm_r2","Vitvi05g01467","Binding to a zinc ion (Zn)."
"Vitvi06g01122","Vitvi06g01122","23 x 23","Riesl_acclim_r3","Vitvi06g01122","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi06g01631","Vitvi06g01631","25 x 24","Chard_freeze_r2","Vitvi06g01631","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01850","Vitvi06g01850","18 x 11","CabFra_freeze_r1","Vitvi06g01850","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi06g01852","Vitvi06g01852","9 x 14","Sangio_accfreeze_r1","Vitvi06g01852","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi10g01564","Vitvi10g01564","22 x 31","Riesl_freeze_r1","Vitvi10g01564","Binding to a metal ion."
"Vitvi13g01379","Vitvi13g01379","22 x 38","Riesl_accfreeze_r1","Vitvi13g01379","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g01676","Vitvi13g01676","28 x 38","Tocai_acclim_r3","Vitvi13g01676","Catalysis of the transfer of a sulfate group from 3'-phosphoadenosine 5'-phosphosulfate to the hydroxyl group of an acceptor, producing the sulfated derivative and 3'-phosphoadenosine 5'-phosphate."
"Vitvi17g01399","Vitvi17g01399","31 x 12","Chard_warm_r1","Vitvi17g01399","Binding to a metal ion."
"Vitvi18g01700","Vitvi18g01700","18 x 20","Tocai_freeze_r2","Vitvi18g01700","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi19g00551","Vitvi19g00551","29 x 15","Riesl_freeze_r1","Vitvi19g00551","Binding to a metal ion."
"Vitvi19g01585","Vitvi19g01585","15 x 6","CabFra_freeze_r1","Vitvi19g01585","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi19g01681","Vitvi19g01681","30 x 17","CabFra_warm_r2","Vitvi19g01681","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
