"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00704","Vitvi01g00704","30 x 13","Chard_warm_r2","Vitvi01g00704","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g00414","Vitvi02g00414","21 x 35","Tocai_acclim_r1","Vitvi02g00414","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi03g00543","Vitvi03g00543","28 x 26","Tocai_warm_r3","Vitvi03g00543","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi04g00628","Vitvi04g00628","30 x 14","CabFra_warm_r3","Vitvi04g00628","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi04g01927","Vitvi04g01927","24 x 23","CabFra_freeze_r3","Vitvi04g01927","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi10g01687","Vitvi10g01687","22 x 40","Riesl_acclim_r1","Vitvi10g01687","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01256","Vitvi04g01256","5 x 33","Chard_acclim_r2","Vitvi04g01256","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00105","Vitvi05g00105","30 x 23","Chard_warm_r3","Vitvi05g00105","Binding to a zinc ion (Zn)."
"Vitvi05g00449","Vitvi05g00449","2 x 32","Sangio_accfreeze_r1","Vitvi05g00449","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi05g00638","Vitvi05g00638","23 x 40","Riesl_acclim_r3","Vitvi05g00638","The initial step of transcription, consisting of the assembly of the RNA polymerase preinitiation complex (PIC) at a gene promoter, as well as the formation of the first few bonds of the RNA transcript. Transcription initiation includes abortive initiation events, which occur when the first few nucleotides are repeatedly synthesized and then released, and ends when promoter clearance takes place."
"Vitvi05g01569","Vitvi05g01569","32 x 17","Tocai_acclim_r3","Vitvi05g01569","The synthesis of an RNA transcript from a DNA template."
"Vitvi06g00376","Vitvi06g00376","1 x 19","Tocai_accfreeze_r3","Vitvi06g00376","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi06g00539","Vitvi06g00539","11 x 29","Tocai_accfreeze_r2","Vitvi06g00539","Binding to a nucleic acid."
"Vitvi06g01732","Vitvi06g01732","11 x 7","Sangio_freeze_r1","Vitvi06g01732","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi07g02147","Vitvi07g02147","13 x 6","Tocai_freeze_r2","Vitvi07g02147","The initial step of transcription, consisting of the assembly of the RNA polymerase preinitiation complex (PIC) at a gene promoter, as well as the formation of the first few bonds of the RNA transcript. Transcription initiation includes abortive initiation events, which occur when the first few nucleotides are repeatedly synthesized and then released, and ends when promoter clearance takes place."
"Vitvi08g01871","Vitvi08g01871","10 x 30","Sangio_accfreeze_r1","Vitvi08g01871","A fine cytoplasmic channel, found in all higher plants, that connects the cytoplasm of one cell to that of an adjacent cell."
"Vitvi08g02313","Vitvi08g02313","30 x 18","Tocai_warm_r3","Vitvi08g02313","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00157","Vitvi09g00157","25 x 16","CabFra_freeze_r2","Vitvi09g00157","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
