"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00642","Vitvi01g00642","5 x 16","Tocai_accfreeze_r2","Vitvi01g00642","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01618","Vitvi01g01618","20 x 25","Tocai_acclim_r2","Vitvi01g01618","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00775","Vitvi02g00775","17 x 6","CabFra_freeze_r3","Vitvi02g00775","The component of the endoplasmic reticulum membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00780","Vitvi02g00780","30 x 16","Chard_warm_r2","Vitvi02g00780","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00057","Vitvi03g00057","28 x 10","Sangio_freeze_r1","Vitvi03g00057","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00368","Vitvi03g00368","13 x 31","Tocai_accfreeze_r2","Vitvi03g00368","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01231","Vitvi04g01231","37 x 18","CabFra_warm_r3","Vitvi04g01231","The lipid bilayer surrounding the endoplasmic reticulum."
"Vitvi04g01429","Vitvi04g01429","10 x 6","Tocai_freeze_r2","Vitvi04g01429","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g01186","Vitvi05g01186","22 x 7","Sangio_freeze_r3","Vitvi05g01186","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi06g01309","Vitvi06g01309","5 x 22","CabFra_freeze_r3","Vitvi06g01309","The component of the endoplasmic reticulum membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00296","Vitvi07g00296","9 x 27","CabFra_freeze_r1","Vitvi07g00296","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00622","Vitvi07g00622","27 x 15","Sangio_freeze_r1","Vitvi07g00622","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00679","Vitvi07g00679","27 x 4","CabFra_freeze_r3","Vitvi07g00679","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01063","Vitvi08g01063","26 x 3","Riesl_freeze_r1","Vitvi08g01063","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi08g01192","Vitvi08g01192","18 x 23","Tocai_accfreeze_r2","Vitvi08g01192","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01695","Vitvi08g01695","22 x 5","Sangio_freeze_r1","Vitvi08g01695","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g01344","Vitvi09g01344","12 x 21","Tocai_acclim_r2","Vitvi09g01344","Binding to a calcium ion (Ca2+)."
"Vitvi10g00029","Vitvi10g00029","23 x 3","Sangio_freeze_r3","Vitvi10g00029","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00738","Vitvi10g00738","1 x 33","Tocai_accfreeze_r2","Vitvi10g00738","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00778","Vitvi10g00778","12 x 24","Sangio_accfreeze_r1","Vitvi10g00778","Binding to a calcium ion (Ca2+)."
"Vitvi11g00282","Vitvi11g00282","18 x 32","Chard_acclim_r3","Vitvi11g00282","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00496","Vitvi11g00496","15 x 36","Chard_warm_r1","Vitvi11g00496","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi11g01160","Vitvi11g01160","23 x 32","Tocai_acclim_r1","Vitvi11g01160","Binding to a calcium ion (Ca2+)."
"Vitvi12g00716","Vitvi12g00716","4 x 17","CabFra_freeze_r1","Vitvi12g00716","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00073","Vitvi13g00073","5 x 16","Tocai_accfreeze_r3","Vitvi13g00073","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00294","Vitvi13g00294","6 x 27","Tocai_acclim_r2","Vitvi13g00294","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00617","Vitvi13g00617","23 x 5","Sangio_freeze_r3","Vitvi13g00617","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01201","Vitvi14g01201","13 x 22","Sangio_accfreeze_r1","Vitvi14g01201","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01676","Vitvi14g01676","3 x 18","Chard_freeze_r2","Vitvi14g01676","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01872","Vitvi14g01872","11 x 14","Sangio_freeze_r3","Vitvi14g01872","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g00272","Vitvi14g00272","17 x 19","Chard_freeze_r3","Vitvi14g00272","The chemical reactions and pathways resulting in the formation of dolichol-linked oligosaccharide, usually by a stepwise addition of glycosyl chains to endoplasmic reticulum membrane-bound dolichol-P."
"Vitvi15g00502","Vitvi15g00502","16 x 11","CabFra_freeze_r1","Vitvi15g00502","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi15g00540","Vitvi15g00540","19 x 33","Sangio_acclim_r1","Vitvi15g00540","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi16g00048","Vitvi16g00048","19 x 6","Sangio_freeze_r3","Vitvi16g00048","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi17g01164","Vitvi17g01164","33 x 19","CabFra_warm_r2","Vitvi17g01164","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00060","Vitvi18g00060","26 x 26","Tocai_acclim_r3","Vitvi18g00060","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00110","Vitvi18g00110","23 x 6","Sangio_freeze_r3","Vitvi18g00110","The lipid bilayer surrounding the endoplasmic reticulum."
"Vitvi18g00647","Vitvi18g00647","11 x 25","Sangio_accfreeze_r1","Vitvi18g00647","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00095","Vitvi19g00095","5 x 35","Tocai_accfreeze_r2","Vitvi19g00095","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi19g00114","Vitvi19g00114","21 x 26","CabFra_warm_r3","Vitvi19g00114","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
