"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00787","Vitvi01g00787","4 x 2","CabFra_freeze_r3","Vitvi01g00787","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi02g00128","Vitvi02g00128","9 x 8","Sangio_freeze_r3","Vitvi02g00128","The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."
"Vitvi02g00244","Vitvi02g00244","5 x 40","Sangio_acclim_r3","Vitvi02g00244","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi03g00388","Vitvi03g00388","40 x 40","CabFra_warm_r1","Vitvi03g00388","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi04g01402","Vitvi04g01402","38 x 1","Riesl_freeze_r3","Vitvi04g01402","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi04g01671","Vitvi04g01671","7 x 21","Sangio_accfreeze_r1","Vitvi04g01671","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g00018","Vitvi05g00018","31 x 8","Sangio_freeze_r3","Vitvi05g00018","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi05g00044","Vitvi05g00044","15 x 34","Chard_acclim_r2","Vitvi05g00044","Binding to FAD, flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes, in either the oxidized form, FAD, or the reduced form, FADH2."
"Vitvi05g00137","Vitvi05g00137","8 x 9","Sangio_freeze_r3","Vitvi05g00137","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g00463","Vitvi05g00463","1 x 33","Tocai_accfreeze_r2","Vitvi05g00463","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi05g00690","Vitvi05g00690","27 x 1","Tocai_freeze_r1","Vitvi05g00690","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g00966","Vitvi05g00966","6 x 11","Sangio_freeze_r1","Vitvi05g00966","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi05g01920","Vitvi05g01920","26 x 13","Sangio_accfreeze_r1","Vitvi05g01920","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi06g00210","Vitvi06g00210","18 x 1","Sangio_warm_r2","Vitvi06g00210","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi06g00605","Vitvi06g00605","15 x 1","Sangio_freeze_r2","Vitvi06g00605","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi07g00445","Vitvi07g00445","40 x 17","CabFra_freeze_r1","Vitvi07g00445","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi07g00795","Vitvi07g00795","24 x 3","Tocai_freeze_r1","Vitvi07g00795","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi07g01934","Vitvi07g01934","32 x 8","Riesl_warm_r1","Vitvi07g01934","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi08g00159","Vitvi08g00159","16 x 1","CabFra_freeze_r2","Vitvi08g00159","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g00667","Vitvi08g00667","3 x 10","Sangio_freeze_r3","Vitvi08g00667","Binding to FAD, flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes, in either the oxidized form, FAD, or the reduced form, FADH2."
"Vitvi11g00066","Vitvi11g00066","2 x 14","Riesl_freeze_r3","Vitvi11g00066","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi11g00315","Vitvi11g00315","10 x 17","Sangio_freeze_r3","Vitvi11g00315","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g00234","Vitvi12g00234","16 x 15","CabFra_accfreeze_r3","Vitvi12g00234","A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism."
"Vitvi12g02504","Vitvi12g02504","12 x 14","Sangio_freeze_r1","Vitvi12g02504","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi12g02505","Vitvi12g02505","16 x 39","Chard_acclim_r1","Vitvi12g02505","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g01962","Vitvi13g01962","15 x 14","Sangio_accfreeze_r1","Vitvi13g01962","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi13g01963","Vitvi13g01963","3 x 34","Sangio_accfreeze_r2","Vitvi13g01963","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi14g01796","Vitvi14g01796","7 x 1","Sangio_freeze_r2","Vitvi14g01796","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi16g00018","Vitvi16g00018","35 x 28","CabFra_warm_r2","Vitvi16g00018","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi17g00786","Vitvi17g00786","3 x 34","CabFra_accfreeze_r3","Vitvi17g00786","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi18g00132","Vitvi18g00132","1 x 35","Sangio_accfreeze_r1","Vitvi18g00132","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi18g00255","Vitvi18g00255","11 x 14","CabFra_freeze_r2","Vitvi18g00255","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi18g00275","Vitvi18g00275","39 x 16","Sangio_warm_r1","Vitvi18g00275","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi18g00444","Vitvi18g00444","33 x 40","Riesl_accfreeze_r1","Vitvi18g00444","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi18g01223","Vitvi18g01223","9 x 3","CabFra_freeze_r3","Vitvi18g01223","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi18g01226","Vitvi18g01226","1 x 24","Sangio_freeze_r2","Vitvi18g01226","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
