"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi13g02110",1,"Vitvi13g02110","Vitvi13g02110",1.39552905673526,1.53334786029053,4.10525665007042,-1.39552905673526,0.463748679201883,3.95187016686961,"0.000108113449970304      .","15 x 40","13 ","Binding to a protein."
"Vitvi00g01651",2,"Vitvi00g01651","",3.44408912428797,2.14889509873917,3.43204187888484,-3.43943199825905,0.891791654361567,14.8810576902296,"0      .","13 x 40"," ",""
"Vitvi10g02090",3,"Vitvi10g02090","",3.44301909702998,2.14781037661761,3.42298935530636,-3.43836197100106,0.891759917491259,14.8784712027771,"0      .","13 x 40"," ",""
"Vitvi08g02122",4,"Vitvi08g02122","",0.843383274584409,1.10364091287048,2.79686032893477,-0.843383274584409,0.450624496851868,3.81100989440148,"0.00017083045337607      .","14 x 40"," ",""
"Vitvi05g00566",5,"Vitvi05g00566","",1.09663748322055,0.831145852153903,2.70819393527422,-1.09663748322055,0.512526725389073,4.50637169334713,"1.66259620149045e-05      .","15 x 40"," ",""
"Vitvi10g02094",6,"Vitvi10g02094","",1.60309300980501,1.14771735578587,2.69071158891168,-1.52412873314712,0.568313908063809,5.21465026962905,"1.33143644598377e-06      .","12 x 40"," ",""
"Vitvi00g01655",7,"Vitvi00g01655","",1.60354298913372,1.14753479155157,2.69045149148239,-1.52457871247583,0.568194679742881,5.21303460918961,"1.33930775236824e-06      .","12 x 40"," ",""
"Vitvi07g02092",8,"Vitvi07g02092","Vitvi07g02092",0.971814039600957,1.1121104952824,2.59094265483073,-0.971814039600957,0.445040377434967,3.7520287615951,"0.000206399926793943      .","12 x 40","7 ","The initial step of transcription, consisting of the assembly of the RNA polymerase preinitiation complex (PIC) at a gene promoter, as well as the formation of the first few bonds of the RNA transcript. Transcription initiation includes abortive initiation events, which occur when the first few nucleotides are repeatedly synthesized and then released, and ends when promoter clearance takes place."
"Vitvi11g01488",9,"Vitvi11g01488","Vitvi11g01488",1.38787269778669,0.910293722778936,2.27807341303853,-1.38787269778669,0.701402014207257,7.42946478138549,"3.06034086960949e-10      .","12 x 40","11 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g01969",10,"Vitvi04g01969","",1.38957317662717,0.963631639360008,2.24199479155682,-1.38957317662717,0.584908010269988,5.44440959087435,"5.72829512268669e-07      .","13 x 40"," ",""
"Vitvi15g01618",11,"Vitvi15g01618","Vitvi15g01618",3.15137229658977,0.692852331636228,1.97900058756303,-0.978734941535659,0.622639531052507,6.0073770440455,"6.99455057207032e-08      .","13 x 40","15 ","Catalysis of the transfer of a nucleotidyl group to a reactant."
"Vitvi03g01162",12,"Vitvi03g01162","Vitvi03g01162",3.05216936823691,0.953397955516339,1.96837608804672,-2.22026447475012,0.733073328798666,8.13730121180924,"2.03350669636393e-11      .","13 x 40","3 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi04g00726",13,"Vitvi04g00726","",2.35478321634459,0.702486004531963,1.94305344855742,-1.10937575114866,0.548580512293306,4.95359797262866,"3.42580031542639e-06      .","14 x 40"," ",""
