"ID","Symbol","MeanExpression","Metagene","Module","Chromosome","Description"
"Vitvi10g01743","",3.23976649720983,"1 x 1",""," ",""
"Vitvi07g01120","Vitvi07g01120",2.32252476716897,"1 x 1","","7 ","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"Vitvi10g00271","Vitvi10g00271",3.94786646403435,"1 x 1","","10 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi00g01928","",2.84055807297175,"1 x 1",""," ",""
"Vitvi01g02228","Vitvi01g02228",1.63310601756456,"1 x 1","","1 ","Binding to a calcium ion (Ca2+)."
"Vitvi01g00317","Vitvi01g00317",1.76252126903894,"1 x 1","","1 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00388","Vitvi01g00388",3.2715005243267,"1 x 1","","1 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00508","Vitvi01g00508",2.09616967826199,"1 x 1","","1 ","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi02g00790","Vitvi02g00790",2.39390440406602,"1 x 1","","2 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00114","Vitvi02g00114",3.36178888548259,"1 x 1","","2 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00161","Vitvi02g00161",6.26801597009119,"1 x 1","","2 ","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stress acting at the endoplasmic reticulum. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen."
"Vitvi02g00219","Vitvi02g00219",1.1780404632941,"1 x 1","","2 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00382","Vitvi02g00382",4.08572908816896,"1 x 1","","2 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00407","Vitvi02g00407",2.15422006887611,"1 x 1","","2 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi00g00236","",3.35688379440799,"1 x 1",""," ",""
"Vitvi02g01780","Vitvi02g01780",3.35651325316273,"1 x 1","","Un ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00209","Vitvi03g00209",4.02416676833019,"1 x 1","","3 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00238","Vitvi03g00238",4.14057659060163,"1 x 1","","3 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
