"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi09g00177",1,"Vitvi09g00177","Vitvi09g00177",4.56801799569907,0.621039252539843,1.92914861887149,-1.39404934245127,0.55861470879274,5.08477196690056,"2.13473906929273e-06      .","15 x 26","9 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi11g00678",2,"Vitvi11g00678","Vitvi11g00678",3.47889618566019,0.551422405780029,1.49119731507503,-1.54331207391725,0.355656835492059,2.8729964599425,"0.00285124315148322      .","16 x 23","11 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi09g01718",3,"Vitvi09g01718","",1.71129842400754,0.62071222675104,1.3817125950446,-1.39483653226954,0.516004739920718,4.54799820918939,"1.43867629361916e-05      .","16 x 26"," ",""
"Vitvi01g00216",4,"Vitvi01g00216","",0.910906353967471,0.407157606663668,1.35936198321305,-0.805612818249929,0.447285670769604,3.77567774522402,"0.000191359154437132      .","14 x 27"," ",""
"Vitvi17g01492",5,"Vitvi17g01492","Vitvi17g01492",1.0683765752354,0.523722169988093,1.3461776694633,-1.0683765752354,0.366911743460419,2.97780787284768,"0.00212873245827361      .","17 x 24","17 ","Binding to a metal ion."
"Vitvi04g01525",6,"Vitvi04g01525","",0.886807546147317,0.455493411419259,1.33574394626401,-0.841501118806291,0.525939548037546,4.66861143163703,"9.43362201077935e-06      .","14 x 28"," ",""
"Vitvi00g01382",7,"Vitvi00g01382","",2.60445424641957,0.583664130822765,1.32946425226,-1.9066389736459,0.600367098763415,5.66779177714695,"2.50050579797545e-07      .","15 x 26"," ",""
"Vitvi07g01669",8,"Vitvi07g01669","Vitvi07g01669",0.782835668780504,0.431011819745494,1.31182302282373,-0.765839863692898,0.365813492505807,2.96751518012659,"0.00219129874203117      .","13 x 22","7 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g01090",9,"Vitvi18g01090","Vitvi18g01090",2.90676470666519,0.364138617227972,1.26159370011162,-0.783285515125567,0.468702475466584,4.00588857840842,"9.05273676952145e-05      .","12 x 28","18 ","The initial step of transcription, consisting of the assembly of the RNA polymerase preinitiation complex (PIC) at a gene promoter, as well as the formation of the first few bonds of the RNA transcript. Transcription initiation includes abortive initiation events, which occur when the first few nucleotides are repeatedly synthesized and then released, and ends when promoter clearance takes place."
"Vitvi18g02403",10,"Vitvi18g02403","Vitvi18g02403",0.624235784285429,0.445387968829379,1.24915402476761,-0.624235784285429,0.373569130417186,3.040510957352,"0.00178212064582517      .","16 x 23","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00346",11,"Vitvi04g00346","Vitvi04g00346",1.10607009401738,0.465587569586547,1.23372968880932,-0.902390569938753,0.399942062899065,3.29444974167918,"0.000849389731755967      .","12 x 27","4 ","Binding to a nucleic acid."
"Vitvi18g01299",12,"Vitvi18g01299","Vitvi18g01299",4.75492239574881,0.511332629138214,1.2253928556474,-1.12667565091552,0.434794511247414,3.64521746328863,"0.000289618995651164      .","14 x 24","18 ","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
