"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00157","Vitvi01g00157","40 x 19","CabFra_warm_r3","Vitvi01g00157","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00175","Vitvi01g00175","40 x 20","Tocai_warm_r1","Vitvi01g00175","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00662","Vitvi01g00662","16 x 40","Sangio_acclim_r3","Vitvi01g00662","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi02g00338","Vitvi02g00338","1 x 13","Sangio_freeze_r3","Vitvi02g00338","The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."
"Vitvi02g00436","Vitvi02g00436","4 x 1","CabFra_freeze_r3","Vitvi02g00436","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi02g00437","Vitvi02g00437","20 x 39","CabFra_accfreeze_r3","Vitvi02g00437","Binding to nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NAD+, or the reduced form, NADH."
"Vitvi02g00572","Vitvi02g00572","35 x 9","Sangio_warm_r3","Vitvi02g00572","The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
"Vitvi02g00680","Vitvi02g00680","36 x 34","Riesl_warm_r1","Vitvi02g00680","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00154","Vitvi03g00154","38 x 7","Sangio_warm_r3","Vitvi03g00154","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi03g00785","Vitvi03g00785","39 x 7","Chard_freeze_r2","Vitvi03g00785","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g01231","Vitvi03g01231","40 x 1","Chard_warm_r2","Vitvi03g01231","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00063","Vitvi04g00063","29 x 6","Chard_freeze_r2","Vitvi04g00063","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00112","Vitvi04g00112","36 x 7","Sangio_warm_r3","Vitvi04g00112","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
