"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00145","Vitvi01g00145","36 x 37","Tocai_acclim_r3","Vitvi01g00145","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi01g00589","Vitvi01g00589","37 x 36","Riesl_acclim_r3","Vitvi01g00589","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01035","Vitvi01g01035","33 x 34","Tocai_acclim_r3","Vitvi01g01035","Binding to a calcium ion (Ca2+)."
"Vitvi02g00211","Vitvi02g00211","40 x 35","CabFra_warm_r2","Vitvi02g00211","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi02g00665","Vitvi02g00665","36 x 31","CabFra_warm_r3","Vitvi02g00665","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi03g01127","Vitvi03g01127","33 x 1","Sangio_warm_r1","Vitvi03g01127","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00164","Vitvi04g00164","38 x 39","CabFra_warm_r2","Vitvi04g00164",""
"Vitvi04g00366","Vitvi04g00366","40 x 6","Chard_freeze_r2","Vitvi04g00366","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi04g00376","Vitvi04g00376","35 x 26","CabFra_warm_r3","Vitvi04g00376","Binding to a calcium ion (Ca2+)."
"Vitvi04g00496","Vitvi04g00496","38 x 7","Chard_freeze_r1","Vitvi04g00496","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00602","Vitvi04g00602","40 x 27","Tocai_warm_r3","Vitvi04g00602","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi04g01806","Vitvi04g01806","35 x 35","CabFra_acclim_r1","Vitvi04g01806","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g02063","Vitvi04g02063","36 x 36","Tocai_warm_r3","Vitvi04g02063","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01275","Vitvi07g01275","32 x 36","CabFra_acclim_r1","Vitvi07g01275","A complex, composed of a cluster of manganese, calcium and chloride ions bound to extrinsic proteins, that catalyzes the splitting of water to O2 and 4 H+. In cyanobacteria there are five extrinsic proteins in OEC (PsbO, PsbP-like, PsbQ-like, PsbU and PsbV), while in plants there are only three (PsbO, PsbP and PsbQ)."
