"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi09g01553",1,"Vitvi09g01553","",1.85030395293628,0.85180588565505,2.6028282591417,-1.82877288731378,0.361381821680757,2.92612664434383,"0.00246055453039418      .","24 x 40"," ",""
"Vitvi05g02157",2,"Vitvi05g02157","Vitvi05g02157",0.752795071985367,0.687478555351749,1.98318716911305,-0.752795071985367,0.587225316387189,5.47729813730615,"5.07280012218558e-07      .","24 x 40","5 ","Binding to a protein."
"Vitvi18g01063",3,"Vitvi18g01063","Vitvi18g01063",1.33793027579421,0.905357098866978,1.88264783559793,-1.33793027579421,0.444366744422792,3.74495084548538,"0.000211117545297457      .","24 x 40","18 ",""
"Vitvi14g02049",4,"Vitvi14g02049","Vitvi14g02049",0.643218043454796,0.598064084916259,1.86669078034642,-0.643218043454796,0.584579344429271,5.43976145187808,"5.8274403769154e-07      .","24 x 40","14 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g00405",5,"Vitvi19g00405","Vitvi19g00405",2.43382440872583,0.884037771766303,1.85787101696116,-2.43382440872583,0.622187132578696,6.00025357736736,"7.18504140628795e-08      .","23 x 40","19 ",""
"Vitvi11g00460",6,"Vitvi11g00460","Vitvi11g00460",1.21621230932147,1.08623875507159,1.85287315811926,-1.21621230932147,0.374541618539137,3.04971569927645,"0.00173591558323039      .","23 x 40","11 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi12g00667",7,"Vitvi12g00667","Vitvi12g00667",3.53140573599016,0.792539377195638,1.70462890723568,-2.34842782772633,0.734871715119336,8.1806393209567,"1.7234880189676e-11      .","22 x 40","12 ","Binding to a metal ion."
"Vitvi13g01379",8,"Vitvi13g01379","Vitvi13g01379",0.544566710990501,0.569809246956875,1.50197907858791,-0.544566710990501,0.594418152750143,5.58070571942699,"3.45771247634019e-07      .","22 x 38","13 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g01578",9,"Vitvi10g01578","Vitvi10g01578",0.78143781853752,0.618069598151751,1.48759677240118,-0.78143781853752,0.587249762377735,5.47764617949305,"5.06627545027172e-07      .","22 x 37","10 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi12g02469",10,"Vitvi12g02469","",1.01326309132906,0.537186294368872,1.40129115336964,-0.934298814671179,0.578317073681649,5.35196551228536,"8.05241577084281e-07      .","22 x 40"," ",""
"Vitvi10g01753",11,"Vitvi10g01753","Vitvi10g01753",3.52075399847327,0.667673377960924,1.37146422622293,-1.75970384402124,0.733493630467292,8.14739651605482,"1.95663485413888e-11      .","24 x 40","10 ",""
"Vitvi13g00242",12,"Vitvi13g00242","Vitvi13g00242",3.85296212346778,0.574668664945706,1.35433637871614,-0.910710061168629,0.609826942264179,5.80932670683795,"1.47308464537588e-07      .","24 x 40","13 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g00869",13,"Vitvi16g00869","Vitvi16g00869",5.90222244496207,0.426088773235326,1.34697298798693,-1.02936545451171,0.713594139091634,7.69030860032414,"1.12497566817638e-10      .","22 x 37","16 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g00245",14,"Vitvi11g00245","Vitvi11g00245",2.33765433034127,0.592568696819523,1.30068242827284,-1.50574943685448,0.620168445123344,5.96858643428414,"8.0960916859496e-08      .","24 x 40","11 ",""
"Vitvi15g00505",15,"Vitvi15g00505","Vitvi15g00505",1.18586716766696,0.537640794761003,1.22649727783006,-1.17321285465195,0.525815808815973,4.66709322939836,"9.48411475054645e-06      .","23 x 37","15 ","Binding to a protein."
"Vitvi14g00432",16,"Vitvi14g00432","Vitvi14g00432",1.41458920584058,0.598983757216566,1.17552159766432,-1.39560898465826,0.772553956647971,9.18601867133737,"3.84137166520304e-13      .","24 x 39","14 ","Binding to an RNA molecule or a portion thereof."
"Vitvi14g01960",17,"Vitvi14g01960","Vitvi14g01960",3.53603425954557,0.613205356042841,1.149966346696,-1.52005521924497,0.727990834510003,8.01679638040869,"3.22252224904673e-11      .","23 x 40","14 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00217",18,"Vitvi11g00217","Vitvi11g00217",1.7162486136204,0.756562655921131,1.11386916601435,-1.7162486136204,0.462209975311109,3.9351881300233,"0.000114179989572083      .","22 x 40","11 ","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi14g02987",19,"Vitvi14g02987","Vitvi14g02987",2.77794431153674,0.592120414510874,1.11236787370175,-2.61330789980173,0.796218885314282,9.9359250373668,"2.37587727269783e-14      .","22 x 40","14 ","The cell cycle process in which the sister chromatids of a replicated chromosome become tethered to each other."
"Vitvi07g02617",20,"Vitvi07g02617","",1.69781652317649,0.470822438922683,1.10555019279566,-1.13672629556824,0.610422915413319,5.81837333377976,"1.4239627343926e-07      .","22 x 40"," ",""
"Vitvi02g00111",21,"Vitvi02g00111","Vitvi02g00111",2.95720066609108,0.461361494722757,1.09218016147556,-1.21884969582379,0.728390378216724,8.02616590794659,"3.10913517154177e-11      .","24 x 39","2 ","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
