"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00062","Vitvi01g00062","6 x 16","CabFra_freeze_r1","Vitvi01g00062","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00071","Vitvi01g00071","18 x 23","Riesl_acclim_r1","Vitvi01g00071","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00867","Vitvi01g00867","39 x 4","Riesl_warm_r2","Vitvi01g00867","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00645","Vitvi02g00645","24 x 14","CabFra_warm_r1","Vitvi02g00645","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00293","Vitvi03g00293","5 x 24","Tocai_freeze_r2","Vitvi03g00293","A transcription factor complex that is involved in regulating transcription from RNA polymerase III (Pol III) promoters. TFIIIB contains the TATA-binding protein (TBP) and two Pol III-specific proteins, B'' and BRF."
"Vitvi03g00325","Vitvi03g00325","40 x 3","Riesl_warm_r2","Vitvi03g00325","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi03g00349","Vitvi03g00349","6 x 32","Sangio_accfreeze_r1","Vitvi03g00349","Binding to a zinc ion (Zn)."
"Vitvi03g00668","Vitvi03g00668","27 x 6","CabFra_freeze_r1","Vitvi03g00668","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi05g01551","Vitvi05g01551","13 x 9","Tocai_freeze_r2","Vitvi05g01551","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g02482","Vitvi07g02482","8 x 38","CabFra_acclim_r2","Vitvi07g02482","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi10g00225","Vitvi10g00225","11 x 24","Riesl_freeze_r3","Vitvi10g00225","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"Vitvi04g00845","Vitvi04g00845","1 x 26","Riesl_warm_r1","Vitvi04g00845","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g01309","Vitvi04g01309","40 x 21","CabFra_warm_r3","Vitvi04g01309","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi05g00301","Vitvi05g00301","19 x 20","Tocai_accfreeze_r2","Vitvi05g00301","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00330","Vitvi05g00330","7 x 40","Tocai_accfreeze_r3","Vitvi05g00330","The synthesis of an RNA transcript from a DNA template."
"Vitvi06g00238","Vitvi06g00238","13 x 11","Sangio_freeze_r2","Vitvi06g00238",""
