"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00907","Vitvi01g00907","6 x 1","Chard_freeze_r2","Vitvi01g00907","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi01g01866","Vitvi01g01866","7 x 36","Chard_accfreeze_r3","Vitvi01g01866",""
"Vitvi02g00160","Vitvi02g00160","12 x 1","Tocai_freeze_r3","Vitvi02g00160","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi02g00241","Vitvi02g00241","37 x 25","Tocai_warm_r3","Vitvi02g00241",""
"Vitvi03g00514","Vitvi03g00514","26 x 1","Sangio_freeze_r3","Vitvi03g00514","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g01568","Vitvi03g01568","25 x 16","CabFra_warm_r3","Vitvi03g01568","Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5."
"Vitvi04g01390","Vitvi04g01390","40 x 9","Chard_warm_r3","Vitvi04g01390","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi04g01401","Vitvi04g01401","19 x 21","Sangio_freeze_r2","Vitvi04g01401","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00342","Vitvi05g00342","1 x 14","CabFra_freeze_r3","Vitvi05g00342","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00977","Vitvi05g00977","32 x 9","Chard_freeze_r2","Vitvi05g00977","Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5."
"Vitvi06g00284","Vitvi06g00284","28 x 30","Chard_acclim_r3","Vitvi06g00284","Catalysis of the rearrangement of both intrachain and interchain disulfide bonds in proteins."
"Vitvi06g00690","Vitvi06g00690","33 x 27","Tocai_warm_r3","Vitvi06g00690","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi07g00256","Vitvi07g00256","5 x 17","CabFra_freeze_r2","Vitvi07g00256","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00259","Vitvi07g00259","9 x 1","Chard_freeze_r3","Vitvi07g00259","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00733","Vitvi07g00733","34 x 20","Tocai_warm_r2","Vitvi07g00733","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi08g00261","Vitvi08g00261","37 x 29","Tocai_freeze_r1","Vitvi08g00261",""
"Vitvi08g01451","Vitvi08g01451","39 x 25","Tocai_warm_r3","Vitvi08g01451","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi08g01619","Vitvi08g01619","10 x 28","Riesl_acclim_r3","Vitvi08g01619",""
"Vitvi08g01668","Vitvi08g01668","33 x 36","Chard_warm_r1","Vitvi08g01668","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi09g00351","Vitvi09g00351","28 x 15","Sangio_freeze_r3","Vitvi09g00351","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi12g00319","Vitvi12g00319","29 x 19","Tocai_warm_r2","Vitvi12g00319","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi12g00453","Vitvi12g00453","34 x 21","Tocai_warm_r1","Vitvi12g00453","Catalysis of the rearrangement of both intrachain and interchain disulfide bonds in proteins."
"Vitvi13g00097","Vitvi13g00097","8 x 9","CabFra_freeze_r3","Vitvi13g00097",""
