"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00135","Vitvi01g00135","6 x 36","Tocai_acclim_r1","Vitvi01g00135","Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5."
"Vitvi02g00662","Vitvi02g00662","30 x 12","Riesl_freeze_r2","Vitvi02g00662","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi03g00160","Vitvi03g00160","21 x 19","CabFra_freeze_r3","Vitvi03g00160","A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."
"Vitvi04g00117","Vitvi04g00117","20 x 19","Tocai_freeze_r1","Vitvi04g00117","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi04g00543","Vitvi04g00543","10 x 25","Sangio_acclim_r3","Vitvi04g00543","A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."
"Vitvi10g00450","Vitvi10g00450","7 x 17","Sangio_accfreeze_r1","Vitvi10g00450","A complex that functions in anterograde transport at the Golgi and also regulates autophagy. In yeast it includes at least the following subunits: Bet3 (as homodimer), Bet5, Trs20, Trs23, Trs31, Trs33, Trs85. TRAPPIII may include further, as yet undescribed, proteins."
"Vitvi04g01738","Vitvi04g01738","19 x 18","Sangio_freeze_r2","Vitvi04g01738","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi07g00412","Vitvi07g00412","17 x 28","Tocai_accfreeze_r2","Vitvi07g00412","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g02672","Vitvi07g02672","17 x 10","Sangio_freeze_r3","Vitvi07g02672","Binding to a protein."
"Vitvi07g02675","Vitvi07g02675","20 x 7","Sangio_freeze_r3","Vitvi07g02675","Binding to a protein."
"Vitvi08g00282","Vitvi08g00282","13 x 25","Sangio_accfreeze_r1","Vitvi08g00282","Binding to a protein."
"Vitvi09g01265","Vitvi09g01265","13 x 30","Tocai_accfreeze_r2","Vitvi09g01265","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi10g01135","Vitvi10g01135","36 x 15","Tocai_warm_r3","Vitvi10g01135","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
