"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi07g02067",1,"Vitvi07g02067","Vitvi07g02067",1.07647817105119,0.638214786095647,2.22467715406955,-1.07647817105119,0.322901801452323,2.57583632055282,"0.00630849165615333      .","27 x 29","7 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00246",2,"Vitvi09g00246","",2.26420548073426,0.919196349830904,1.92011463471614,-2.24267441511177,0.203137749718631,1.56631375404492,"0.061405274850169      .","24 x 32"," ",""
"Vitvi14g02885",3,"Vitvi14g02885","",0.965338362503912,0.646820883578734,1.7081913810958,-0.965338362503912,0.548015691729588,4.94630695311612,"3.51664339370839e-06      .","24 x 34"," ",""
"Vitvi02g00242",4,"Vitvi02g00242","Vitvi02g00242",0.728758590838031,0.524296629748556,1.55264814979482,-0.716104277823022,0.665345790511249,6.72875140443549,"4.49839754335102e-09      .","28 x 31","2 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g02289",5,"Vitvi10g02289","Vitvi10g02289",1.95227203073756,0.688161560917431,1.54266853189298,-1.50424631824754,0.445055721697603,3.75219007740983,"0.000206293592157736      .","28 x 29","Un ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi00g00895",6,"Vitvi00g00895","",1.9527013690228,0.687897590124328,1.54223919360774,-1.50467565653279,0.444729490948084,3.74876126704211,"0.000208565105267455      .","28 x 29"," ",""
"Vitvi16g01543",7,"Vitvi16g01543","",0.570501597979898,0.541312394258273,1.4334878070092,-0.570501597979898,0.308012265581591,2.44427650077724,"0.00881541114534468      .","20 x 31"," ",""
"Vitvi10g00227",8,"Vitvi10g00227","Vitvi10g00227",1.6095850535803,0.897810057060796,1.41714722410417,-1.58805398795781,0.366483364001606,2.97379143813261,"0.00215294673372113      .","28 x 30","10 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g00012",9,"Vitvi14g00012","",1.03925408102672,0.581170316330809,1.41274536409292,-1.02432346421172,0.445142116736718,3.75309843429871,"0.000205695809586293      .","25 x 29"," ",""
"Vitvi04g00365",10,"Vitvi04g00365","Vitvi04g00365",1.38460022796888,0.596236909894651,1.38514389688178,-1.16960739465049,0.458182057000861,3.89173212149043,"0.00013156175356055      .","26 x 31","4 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00325",11,"Vitvi06g00325","Vitvi06g00325",3.28215517418096,0.503013111538836,1.34904508116729,-0.958667942302863,0.35355108319034,2.85354790988244,"0.00300807925211433      .","23 x 32","6 ","Catalysis of the sequential cleavage of nucleotides (such as mononucleotides or dinucleotides) from a free 5' terminus of a single-stranded DNA molecule."
"Vitvi11g00053",12,"Vitvi11g00053","Vitvi11g00053",1.80080529896233,0.58794933404062,1.34137061775251,-1.51456671944038,0.336118362511798,2.69439877494638,"0.00462414735765615      .","25 x 31","11 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00153",13,"Vitvi19g00153","Vitvi19g00153",0.716691304552524,0.501314987635926,1.32386580183845,-0.716691304552524,0.356144774351232,2.87751015117843,"0.00281594283707443      .","27 x 29","19 ","Binding to GTP, guanosine triphosphate."
"Vitvi04g00241",14,"Vitvi04g00241","Vitvi04g00241",1.09885103726942,0.603019960367336,1.28749533458719,-1.08392042045442,0.189499760004984,1.45709322494433,"0.0752889667410575      .","21 x 27","4 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01387",15,"Vitvi06g01387","Vitvi06g01387",2.16418248604296,0.508686904774815,1.26705631077609,-1.16841127784566,0.342189619880534,2.74945717852896,"0.0039916448592725      .","24 x 31","6 ","Catalysis of the hydrolysis of any ester bond."
"Vitvi05g01400",16,"Vitvi05g01400","Vitvi05g01400",0.65845331734029,0.600444639008225,1.2573496653502,-0.645799004325281,0.463661110184587,3.95091955798805,"0.00010845063691689      .","28 x 29","5 ","Catalysis of the reaction: a very long chain fatty acyl-CoA + NADPH + H+ = a very long chain primary alcohol + NADP+ + CoA."
"Vitvi04g00800",17,"Vitvi04g00800","",1.48563562501221,0.643803971179673,1.24511651375276,-1.32414958384044,0.48374605464804,4.17295194453203,"5.19169211909976e-05      .","28 x 31"," ",""
"Vitvi19g02032",18,"Vitvi19g02032","Vitvi19g02032",0.56853532773215,0.532251251451669,1.2056441575715,-0.56853532773215,0.268433972603675,2.10384727174844,"0.019907663260315      .","21 x 29","19 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g01375",19,"Vitvi19g01375","Vitvi19g01375",0.529153273956294,0.454760079334879,1.19204667142961,-0.529153273956294,0.392847547143762,3.22523084718787,"0.00104295431496837      .","24 x 34","19 ","Binding to a protein."
"Vitvi10g00639",20,"Vitvi10g00639","Vitvi10g00639",2.93088627807635,0.447439843948707,1.19025809748945,-0.87812510192248,0.23669172705966,1.83924588867112,"0.0355446913716941      .","21 x 30","10 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00156",21,"Vitvi04g00156","Vitvi04g00156",0.781728392444089,0.397921339376374,1.16346282822516,-0.587172561112768,0.495639484318114,4.30843279812499,"3.28321702571799e-05      .","24 x 33","4 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00184",22,"Vitvi06g00184","Vitvi06g00184",3.7703729303825,0.465129588869354,1.142129600945,-1.44649510753119,0.498964644351108,4.346876685784,"2.87961836695771e-05      .","21 x 32","6 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi04g01304",23,"Vitvi04g01304","Vitvi04g01304",2.31307882984976,0.336212369387545,1.14174286390885,-0.906815725717766,0.255676378333438,1.99667909326651,"0.0253217894237188      .","26 x 29","4 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
