"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi07g00296","Vitvi07g00296","9 x 27","CabFra_freeze_r1","Vitvi07g00296","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01192","Vitvi08g01192","18 x 23","Tocai_accfreeze_r2","Vitvi08g01192","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01695","Vitvi08g01695","22 x 5","Sangio_freeze_r1","Vitvi08g01695","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00738","Vitvi10g00738","1 x 33","Tocai_accfreeze_r2","Vitvi10g00738","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00073","Vitvi13g00073","5 x 16","Tocai_accfreeze_r3","Vitvi13g00073","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00294","Vitvi13g00294","6 x 27","Tocai_acclim_r2","Vitvi13g00294","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01201","Vitvi14g01201","13 x 22","Sangio_accfreeze_r1","Vitvi14g01201","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g00272","Vitvi14g00272","17 x 19","Chard_freeze_r3","Vitvi14g00272","The chemical reactions and pathways resulting in the formation of dolichol-linked oligosaccharide, usually by a stepwise addition of glycosyl chains to endoplasmic reticulum membrane-bound dolichol-P."
"Vitvi15g00502","Vitvi15g00502","16 x 11","CabFra_freeze_r1","Vitvi15g00502","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi15g00540","Vitvi15g00540","19 x 33","Sangio_acclim_r1","Vitvi15g00540","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi18g00647","Vitvi18g00647","11 x 25","Sangio_accfreeze_r1","Vitvi18g00647","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00095","Vitvi19g00095","5 x 35","Tocai_accfreeze_r2","Vitvi19g00095","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi19g00114","Vitvi19g00114","21 x 26","CabFra_warm_r3","Vitvi19g00114","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
