"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi01g00331",1,"Vitvi01g00331","Vitvi01g00331",1.3682450716309,0.68621003825033,2.21496585349189,-1.07663695812951,0.347301209897949,2.79611462058745,"0.00351897370541354      .","25 x 6","1 ","The directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lipids are compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
"Vitvi14g01984",2,"Vitvi14g01984","Vitvi14g01984",0.874081396732208,0.510904324366767,1.54047284796649,-0.86372157582839,0.336431655737519,2.69723057390137,"0.00458949722634627      .","25 x 11","14 ","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
"Vitvi19g01326",3,"Vitvi19g01326","",4.76009647487319,0.547876059170159,1.49057563061117,-1.31176024381733,0.394400015060006,3.24031874709895,"0.000997518097124894      .","25 x 10"," ",""
"Vitvi04g00005",4,"Vitvi04g00005","Vitvi04g00005",0.651117130136652,0.453646392565703,1.36695523356981,-0.651117130136652,0.43451692016054,3.64234832217802,"0.000292246349665515      .","31 x 7","4 ",""
"Vitvi07g00934",5,"Vitvi07g00934","Vitvi07g00934",0.869017290328409,0.456902900514427,1.36635631281275,-0.795172310632802,0.581130272292655,5.39122693431475,"6.96938437627637e-07      .","29 x 7","7 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi05g00018",6,"Vitvi05g00018","Vitvi05g00018",2.53666301346106,0.610175275045405,1.35697879884359,-1.37937726819084,0.408064988035296,3.37456966047621,"0.000667748450675743      .","31 x 8","5 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi16g00137",7,"Vitvi16g00137","Vitvi16g00137",4.13898174203815,0.626444050481586,1.34951582818888,-1.15652008683636,0.0158196800979319,0.119450913522508,"0.452669071421322      .","24 x 6","16 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01551",8,"Vitvi06g01551","Vitvi06g01551",4.87251189571519,0.479444824014481,1.31490512584963,-0.963515858083035,0.722074390388429,7.88005289160076,"5.43761702331835e-11      .","30 x 7","6 ",""
"Vitvi12g01792",9,"Vitvi12g01792","Vitvi12g01792",2.25268213381717,0.578794829223909,1.24216930585082,-1.29978952706962,0.496691034927576,4.3205629518,"3.15027635380272e-05      .","25 x 10","12 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi18g01038",10,"Vitvi18g01038","Vitvi18g01038",0.828647945332155,0.463181750167114,1.23694776541652,-0.828647945332155,0.411359883649565,3.40734062799693,"0.000604616412822279      .","31 x 9","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
